alpha V cls h
-10.00 4.500 0 -48.72
-9.00 4.500 0 -48.22
-8.00 4.500 0 -47.73
-7.00 4.500 0 -47.24
-6.00 4.500 0 -46.74
-5.00 4.500 0 -46.25
-4.00 4.500 0 -45.76
-3.00 4.500 0 -45.26
-2.00 4.500 0 -44.77
-1.00 4.500 0 -44.28
0.00 4.500 0 -43.78
1.00 4.500 0 -43.49
2.00 4.500 0 -43.19
3.00 4.500 0 -42.90
4.00 4.500 0 -42.60
5.00 4.500 0 -42.30
-10.00 5.000 0 -48.18
-9.00 5.000 0 -47.57
-8.00 5.000 0 -46.96
-7.00 5.000 0 -46.35
-6.00 5.000 0 -45.74
-5.00 5.000 0 -45.13
-4.00 5.000 0 -44.52
-3.00 5.000 0 -43.91
-2.00 5.000 0 -43.31
-1.00 5.000 0 -42.70
0.00 5.000 0 -42.09
1.00 5.000 0 -41.72
2.00 5.000 0 -41.36
3.00 5.000 0 -40.99
4.00 5.000 0 -40.63
5.00 5.000 0 -40.26
-10.00 5.500 0 -47.58
-9.00 5.500 0 -46.85
-8.00 5.500 0 -46.11
-7.00 5.500 0 -45.37
-6.00 5.500 0 -44.64
-5.00 5.500 0 -43.90
-4.00 5.500 0 -43.16
-3.00 5.500 0 -42.42
-2.00 5.500 0 -41.69
-1.00 5.500 0 -40.95
0.00 5.500 0 -40.22
1.00 5.500 0 -39.77
2.00 5.500 0 -39.33
3.00 5.500 0 -38.89
4.00 5.500 0 -38.45
5.00 5.500 0 -38.00
-10.00 6.000 0 -46.93
-9.00 6.000 0 -46.05
-8.00 6.000 0 -45.18
-7.00 6.000 0 -44.30
-6.00 6.000 0 -43.42
-5.00 6.000 0 -42.55
-4.00 6.000 0 -41.67
-3.00 6.000 0 -40.79
-2.00 6.000 0 -39.92
-1.00 6.000 0 -39.04
0.00 6.000 0 -38.16
1.00 6.000 0 -37.64
2.00 6.000 0 -37.11
3.00 6.000 0 -36.58
4.00 6.000 0 -36.06
5.00 6.000 0 -35.53
-10.00 6.500 0 -46.22
-9.00 6.500 0 -45.19
-8.00 6.500 0 -44.16
-7.00 6.500 0 -43.14
-6.00 6.500 0 -42.11
-5.00 6.500 0 -41.08
-4.00 6.500 0 -40.05
-3.00 6.500 0 -39.02
-2.00 6.500 0 -37.99
-1.00 6.500 0 -36.96
0.00 6.500 0 -35.93
1.00 6.500 0 -35.31
2.00 6.500 0 -34.70
3.00 6.500 0 -34.08
4.00 6.500 0 -33.46
5.00 6.500 0 -32.84
-10.00 7.000 0 -45.46
-9.00 7.000 0 -44.27
-8.00 7.000 0 -43.07
-7.00 7.000 0 -41.88
-6.00 7.000 0 -40.68
-5.00 7.000 0 -39.49
-4.00 7.000 0 -38.30
-3.00 7.000 0 -37.10
-2.00 7.000 0 -35.91
-1.00 7.000 0 -34.72
0.00 7.000 0 -33.52
1.00 7.000 0 -32.81
2.00 7.000 0 -32.09
3.00 7.000 0 -31.37
4.00 7.000 0 -30.66
5.00 7.000 0 -29.94
-10.00 7.500 0 -44.64
-9.00 7.500 0 -43.27
-8.00 7.500 0 -41.90
-7.00 7.500 0 -40.53
-6.00 7.500 0 -39.16
-5.00 7.500 0 -37.78
-4.00 7.500 0 -36.41
-3.00 7.500 0 -35.05
-2.00 7.500 0 -33.67
-1.00 7.500 0 -32.30
0.00 7.500 0 -30.93
1.00 7.500 0 -30.11
2.00 7.500 0 -29.29
3.00 7.500 0 -28.47
4.00 7.500 0 -27.64
5.00 7.500 0 -26.82
-10.00 8.000 0 -43.76
-9.00 8.000 0 -42.20
-8.00 8.000 0 -40.64
-7.00 8.000 0 -39.08
-6.00 8.000 0 -37.52
-5.00 8.000 0 -35.96
-4.00 8.000 0 -34.40
-3.00 8.000 0 -32.84
-2.00 8.000 0 -31.29
-1.00 8.000 0 -29.73
0.00 8.000 0 -28.17
1.00 8.000 0 -27.23
2.00 8.000 0 -26.30
3.00 8.000 0 -25.36
4.00 8.000 0 -24.43
5.00 8.000 0 -23.49
-10.00 8.500 0 -42.82
