V alpha_deg Tr h feas
4.500 -10.00 0.0 -48.717 0
4.500 -10.00 9.8 -39.033 0
4.500 -10.00 19.7 -29.349 0
4.500 -10.00 29.5 -19.665 0
4.500 -10.00 39.3 -9.981 0
4.500 -10.00 49.2 -0.297 0
4.500 -10.00 59.0 9.387 1
4.500 -10.00 68.8 19.071 1
4.500 -10.00 78.7 28.755 1
4.500 -10.00 88.5 38.439 1
4.500 -10.00 98.3 48.123 1
4.500 -10.00 108.2 57.807 1
4.500 -10.00 118.0 67.490 1
4.500 -9.00 0.0 -48.224 0
4.500 -9.00 9.8 -38.511 0
4.500 -9.00 19.7 -28.799 0
4.500 -9.00 29.5 -19.087 0
4.500 -9.00 39.3 -9.374 0
4.500 -9.00 49.2 0.338 0
4.500 -9.00 59.0 10.050 1
4.500 -9.00 68.8 19.762 1
4.500 -9.00 78.7 29.475 1
4.500 -9.00 88.5 39.187 1
4.500 -9.00 98.3 48.899 1
4.500 -9.00 108.2 58.611 1
4.500 -9.00 118.0 68.324 1
4.500 -8.00 0.0 -47.730 0
4.500 -8.00 9.8 -37.993 0
4.500 -8.00 19.7 -28.255 0
4.500 -8.00 29.5 -18.517 0
4.500 -8.00 39.3 -8.780 0
4.500 -8.00 49.2 0.958 0
4.500 -8.00 59.0 10.696 1
4.500 -8.00 68.8 20.433 1
4.500 -8.00 78.7 30.171 1
4.500 -8.00 88.5 39.908 1
4.500 -8.00 98.3 49.646 1
4.500 -8.00 108.2 59.384 1
4.500 -8.00 118.0 69.121 1
4.500 -7.00 0.0 -47.237 0
4.500 -7.00 9.8 -37.477 0
4.500 -7.00 19.7 -27.717 0
4.500 -7.00 29.5 -17.957 0
4.500 -7.00 39.3 -8.197 0
4.500 -7.00 49.2 1.563 0
4.500 -7.00 59.0 11.323 1
4.500 -7.00 68.8 21.083 1
4.500 -7.00 78.7 30.843 1
4.500 -7.00 88.5 40.603 1
4.500 -7.00 98.3 50.363 1
4.500 -7.00 108.2 60.123 1
4.500 -7.00 118.0 69.883 1
4.500 -6.00 0.0 -46.744 0
4.500 -6.00 9.8 -36.964 0
4.500 -6.00 19.7 -27.185 0
4.500 -6.00 29.5 -17.405 0
4.500 -6.00 39.3 -7.626 0
4.500 -6.00 49.2 2.154 0
4.500 -6.00 59.0 11.933 1
4.500 -6.00 68.8 21.713 1
4.500 -6.00 78.7 31.492 1
4.500 -6.00 88.5 41.272 1
4.500 -6.00 98.3 51.051 1
4.500 -6.00 108.2 60.830 1
4.500 -6.00 118.0 70.610 1
4.500 -5.00 0.0 -46.250 0
4.500 -5.00 9.8 -36.454 0
4.500 -5.00 19.7 -26.659 0
4.500 -5.00 29.5 -16.863 0
4.500 -5.00 39.3 -7.067 0
4.500 -5.00 49.2 2.729 0
4.500 -5.00 59.0 12.525 1
4.500 -5.00 68.8 22.321 1
4.500 -5.00 78.7 32.117 1
4.500 -5.00 88.5 41.913 1
4.500 -5.00 98.3 51.709 1
4.500 -5.00 108.2 61.505 1
4.500 -5.00 118.0 71.301 1
4.500 -4.00 0.0 -45.757 0
4.500 -4.00 9.8 -35.948 0
4.500 -4.00 19.7 -26.138 0
4.500 -4.00 29.5 -16.329 0
4.500 -4.00 39.3 -6.520 0
4.500 -4.00 49.2 3.290 0
4.500 -4.00 59.0 13.099 1
4.500 -4.00 68.8 22.909 1
4.500 -4.00 78.7 32.718 1
4.500 -4.00 88.5 42.527 1
4.500 -4.00 98.3 52.337 1
4.500 -4.00 108.2 62.146 1
4.500 -4.00 118.0 71.955 1
4.500 -3.00 0.0 -45.264 0
4.500 -3.00 9.8 -35.444 0
4.500 -3.00 19.7 -25.624 0
4.500 -3.00 29.5 -15.804 0
4.500 -3.00 39.3 -5.984 0
4.500 -3.00 49.2 3.835 0
4.500 -3.00 59.0 13.655 1
4.500 -3.00 68.8 23.475 1
4.500 -3.00 78.7 33.295 1
4.500 -3.00 88.5 43.115 1
4.500 -3.00 98.3 52.935 1
4.500 -3.00 108.2 62.755 1
4.500 -3.00 118.0 72.574 1
4.500 -2.00 0.0 -44.771 0
4.500 -2.00 9.8 -34.943 0
4.500 -2.00 19.7 -25.116 0
4.500 -2.00 29.5 -15.288 0
4.500 -2.00 39.3 -5.461 0
4.500 -2.00 49.2 4.366 0
4.500 -2.00 59.0 14.194 1
4.500 -2.00 68.8 24.021 1
4.500 -2.00 78.7 33.848 1
4.500 -2.00 88.5 43.676 1
4.500 -2.00 98.3 53.503 1
4.500 -2.00 108.2 63.330 1
4.500 -2.00 118.0 73.158 1
4.500 -1.00 0.0 -44.277 0
4.500 -1.00 9.8 -34.445 0
4.500 -1.00 19.7 -24.614 0
4.500 -1.00 29.5 -14.782 0
4.500 -1.00 39.3 -4.950 0
4.500 -1.00 49.2 4.882 0
4.500 -1.00 59.0 14.714 1
4.500 -1.00 68.8 24.546 1
4.500 -1.00 78.7 34.377 1
4.500 -1.00 88.5 44.209 1
4.500 -1.00 98.3 54.041 1
4.500 -1.00 108.2 63.873 1
4.500 -1.00 118.0 73.705 1
4.500 0.00 0.0 -43.784 0
4.500 0.00 9.8 -33.951 0
4.500 0.00 19.7 -24.117 0
4.500 0.00 29.5 -14.284 0
4.500 0.00 39.3 -4.451 0
4.500 0.00 49.2 5.383 0
4.500 0.00 59.0 15.216 1
4.500 0.00 68.8 25.049 1
4.500 0.00 78.7 34.883 1
4.500 0.00 88.5 44.716 1
4.500 0.00 98.3 54.549 1
4.500 0.00 108.2 64.383 1
4.500 0.00 118.0 74.216 1
4.500 1.00 0.0 -43.488 0
4.500 1.00 9.8 -33.656 0
4.500 1.00 19.7 -23.824 0
4.500 1.00 29.5 -13.992 0
4.500 1.00 39.3 -4.161 0
4.500 1.00 49.2 5.671 0
4.500 1.00 59.0 15.503 1
4.500 1.00 68.8 25.335 1
4.500 1.00 78.7 35.167 1
4.500 1.00 88.5 44.999 1
4.500 1.00 98.3 54.830 1
4.500 1.00 108.2 64.662 1
4.500 1.00 118.0 74.494 1
4.500 2.00 0.0 -43.192 0
4.500 2.00 9.8 -33.365 0
4.500 2.00 19.7 -23.537 0
4.500 2.00 29.5 -13.710 0
4.500 2.00 39.3 -3.883 0
4.500 2.00 49.2 5.945 0
4.500 2.00 59.0 15.772 1
4.500 2.00 68.8 25.599 1
