param truth est truth_n est_n
CLa 2.87608 3.10935 -0.3146 -0.6566
CLa 2.74968 3.17758 -0.4765 0.5141
CLa 3.23324 3.14310 0.1431 -0.0776
CLa 2.83732 3.15981 -0.3642 0.2091
CLa 3.30676 3.19889 0.2373 0.8797
CLa 3.25019 3.16364 0.1648 0.2749
CLa 2.50411 3.00174 -0.7912 -2.5030
CLa 3.03169 3.17762 -0.1152 0.5147
CLa 2.94965 3.12847 -0.2203 -0.3286
CLa 3.44410 3.18845 0.4133 0.7006
CLa 2.47873 2.96981 -0.8237 -3.0508
CLa 2.60488 3.01927 -0.6621 -2.2022
CLa 3.14122 3.18817 0.0252 0.6957
CLa 2.97265 3.11668 -0.1908 -0.5309
CLa 3.37963 3.16728 0.3307 0.3373
CLa 2.86069 3.12194 -0.3343 -0.4407
CLa 2.64898 2.96955 -0.6056 -3.0553
CLa 3.79558 3.19990 0.8637 0.8970
CLa 2.72184 3.10295 -0.5122 -0.7665
CLa 2.57070 2.97136 -0.7059 -3.0243
CLa 2.77802 3.18016 -0.4402 0.5583
CLa 2.87140 3.10510 -0.3206 -0.7296
CLa 2.69253 3.15318 -0.5498 0.0954
CLa 3.17824 3.16976 0.0726 0.3799
CLa 3.80352 3.22180 0.8739 1.2728
CLa 2.53786 2.98189 -0.7480 -2.8436
CLa 2.98915 3.16942 -0.1697 0.3741
CLa 3.38402 3.15013 0.3363 0.0431
CLa 3.72202 3.20534 0.7694 0.9904
CLa 3.90164 3.19772 0.9996 0.8596
CLa 2.56536 3.12295 -0.7127 -0.4232
CLa 3.17977 3.15119 0.0746 0.0613
CLa 3.71653 3.20293 0.7624 0.9491
CLa 2.42394 3.14392 -0.8939 -0.0634
CLa 3.25937 3.14514 0.1766 -0.0426
CLa 2.61261 3.01696 -0.6522 -2.2419
CLa 3.53958 3.17878 0.5357 0.5346
CLa 3.80461 3.16181 0.8753 0.2434
CLa 3.18132 3.19077 0.0766 0.7404
CLa 2.35516 2.97334 -0.9821 -2.9904
CLa 2.44145 3.14884 -0.8715 0.0210
CLa 2.98999 3.10971 -0.1686 -0.6504
CLa 3.66362 3.17907 0.6946 0.5395
CLa 2.71071 3.11538 -0.5265 -0.5532
CLa 3.38555 3.13403 0.3383 -0.2332
CLa 2.97377 3.12809 -0.1894 -0.3351
CLa 2.75502 3.09813 -0.4697 -0.8491
CLa 3.43979 3.20510 0.4078 0.9863
CLa 2.82229 3.15755 -0.3835 0.1705
CLa 2.92159 3.18473 -0.2562 0.6367
CLa 3.53565 3.20722 0.5306 1.0226
CLa 3.11407 3.17816 -0.0096 0.5240
CLa 3.56469 3.16138 0.5678 0.2360
CLa 3.14700 3.19511 0.0326 0.8148
CLa 2.59085 3.14795 -0.6801 0.0057
CLa 3.03368 3.15918 -0.1126 0.1984
CLa 3.70336 3.16096 0.7455 0.2289
CLa 3.22288 3.11518 0.1298 -0.5566
CLa 3.84703 3.16664 0.9296 0.3264
CLa 2.34296 3.13318 -0.9977 -0.2477
CLa 2.87241 3.14348 -0.3193 -0.0710
CLa 3.54149 3.16169 0.5381 0.2414
CLa 3.41210 3.20956 0.3723 1.0627
