alpha V cls h
-2.00 10.000 2 58.43
-1.00 10.000 2 60.90
0.00 10.000 2 63.35
1.00 10.000 2 64.80
2.00 10.000 2 66.22
3.00 10.000 2 67.63
4.00 10.000 2 69.00
5.00 10.000 2 70.36
-10.00 10.500 2 38.95
-9.00 10.500 2 41.87
-8.00 10.500 2 44.76
-7.00 10.500 2 47.62
-6.00 10.500 2 50.46
-5.00 10.500 2 53.28
-4.00 10.500 2 56.07
-3.00 10.500 2 58.84
-2.00 10.500 2 61.59
-1.00 10.500 2 64.31
0.00 10.500 2 67.01
1.00 10.500 2 68.61
2.00 10.500 2 70.18
3.00 10.500 2 71.73
4.00 10.500 2 73.26
5.00 10.500 2 74.77
-10.00 11.000 2 40.17
-9.00 11.000 2 43.35
-8.00 11.000 2 46.50
-7.00 11.000 2 49.62
-6.00 11.000 2 52.73
-5.00 11.000 2 55.81
-4.00 11.000 2 58.86
-3.00 11.000 2 61.89
-2.00 11.000 2 64.90
-1.00 11.000 2 67.89
0.00 11.000 2 70.84
1.00 11.000 2 72.60
2.00 11.000 2 74.33
3.00 11.000 2 76.04
4.00 11.000 2 77.73
5.00 11.000 2 79.39
-10.00 11.500 2 41.45
-9.00 11.500 2 44.90
-8.00 11.500 2 48.32
-7.00 11.500 2 51.72
-6.00 11.500 2 55.10
-5.00 11.500 2 58.45
-4.00 11.500 2 61.78
-3.00 11.500 2 65.09
-2.00 11.500 2 68.37
-1.00 11.500 2 71.63
0.00 11.500 2 74.86
1.00 11.500 2 76.78
2.00 11.500 2 78.68
3.00 11.500 2 80.55
4.00 11.500 2 82.40
5.00 11.500 2 84.23
-10.00 12.000 2 42.78
-9.00 12.000 2 46.52
-8.00 12.000 2 50.23
-7.00 12.000 2 53.91
-6.00 12.000 2 57.58
-5.00 12.000 2 61.22
-4.00 12.000 2 64.83
-3.00 12.000 2 68.42
-2.00 12.000 2 71.99
-1.00 12.000 2 75.53
0.00 12.000 2 79.05
1.00 12.000 2 81.15
2.00 12.000 2 83.22
3.00 12.000 2 85.26
4.00 12.000 2 87.28
5.00 12.000 2 89.28
-10.00 12.500 2 44.17
-9.00 12.500 2 48.20
-8.00 12.500 2 52.21
-7.00 12.500 2 56.20
-6.00 12.500 2 60.16
-5.00 12.500 2 64.10
-4.00 12.500 2 68.01
-3.00 12.500 2 71.90
-2.00 12.500 2 75.77
-1.00 12.500 2 79.61
0.00 12.500 2 83.43
1.00 12.500 2 85.70
2.00 12.500 2 87.95
3.00 12.500 2 90.17
4.00 12.500 2 92.37
5.00 12.500 2 94.55
-10.00 13.000 2 45.61
-9.00 13.000 2 49.96
-8.00 13.000 2 54.28
-7.00 13.000 2 58.57
-6.00 13.000 2 62.85
-5.00 13.000 2 67.09
-4.00 13.000 2 71.32
-3.00 13.000 2 75.52
-2.00 13.000 2 79.70
-1.00 13.000 2 83.85
0.00 13.000 2 87.98
1.00 13.000 2 90.44
2.00 13.000 2 92.87
3.00 13.000 2 95.28
4.00 13.000 2 97.67
5.00 13.000 2 100.03
-10.00 13.500 2 47.12
-9.00 13.500 2 51.78
-8.00 13.500 2 56.42
-7.00 13.500 2 61.04
-6.00 13.500 2 65.64
-5.00 13.500 2 70.21
-4.00 13.500 2 74.76
-3.00 13.500 2 79.28
-2.00 13.500 2 83.78
-1.00 13.500 2 88.26
0.00 13.500 2 92.71
1.00 13.500 2 95.36
2.00 13.500 2 97.99
3.00 13.500 2 100.59
4.00 13.500 2 103.17
5.00 13.500 2 105.73
-10.00 14.000 2 48.67
-9.00 14.000 2 53.68
-8.00 14.000 2 58.65
-7.00 14.000 2 63.61
-6.00 14.000 2 68.54
-5.00 14.000 2 73.44
-4.00 14.000 2 78.33
-3.00 14.000 2 83.18
-2.00 14.000 2 88.02
-1.00 14.000 2 92.83
0.00 14.000 2 97.61
1.00 14.000 2 100.47
2.00 14.000 2 103.30
3.00 14.000 2 106.10
4.00 14.000 2 108.88
5.00 14.000 2 111.64
-10.00 14.500 2 50.29
-9.00 14.500 2 55.64
-8.00 14.500 2 60.96
-7.00 14.500 2 66.26
-6.00 14.500 2 71.54
-5.00 14.500 2 76.79
-4.00 14.500 2 82.02
-3.00 14.500 2 87.23
-2.00 14.500 2 92.41
-1.00 14.500 2 97.57
0.00 14.500 2 102.70
1.00 14.500 2 105.76
2.00 14.500 2 108.80
3.00 14.500 2 111.81
4.00 14.500 2 114.80
5.00 14.500 2 117.77
-10.00 15.000 2 51.96
-9.00 15.000 2 57.67
-8.00 15.000 2 63.35
-7.00 15.000 2 69.01
-6.00 15.000 2 74.65
-5.00 15.000 2 80.26
-4.00 15.000 2 85.85
-3.00 15.000 2 91.42
-2.00 15.000 2 96.96
-1.00 15.000 2 102.47
0.00 15.000 2 107.97
1.00 15.000 2 111.24
2.00 15.000 2 114.50
3.00 15.000 2 117.72
4.00 15.000 2 120.93
5.00 15.000 2 124.11
-10.00 15.500 2 53.69
-9.00 15.500 2 59.77
-8.00 15.500 2 65.82
-7.00 15.500 2 71.86
-6.00 15.500 2 77.86
-5.00 15.500 2 83.85
-4.00 15.500 2 89.81
-3.00 15.500 2 95.75
-2.00 15.500 2 101.66
-1.00 15.500 2 107.55
0.00 15.500 2 113.41
1.00 15.500 2 116.91
2.00 15.500 2 120.39
3.00 15.500 2 123.84
4.00 15.500 2 127.26
5.00 15.500 2 130.67
-10.00 16.000 2 55.48
-9.00 16.000 2 61.94
-8.00 16.000 2 68.38
-7.00 16.000 2 74.79
-6.00 16.000 2 81.18
-5.00 16.000 2 87.55
-4.00 16.000 2 93.89
-3.00 16.000 2 100.22
-2.00 16.000 2 106.51
-1.00 16.000 2 112.78
0.00 16.000 2 119.03
1.00 16.000 2 122.76
2.00 16.000 2 126.47
3.00 16.000 2 130.15
4.00 16.000 2 133.81
5.00 16.000 2 137.44
-10.00 16.500 2 57.32
-9.00 16.500 2 64.17
-8.00 16.500 2 71.01
-7.00 16.500 2 77.82
-6.00 16.500 2 84.61
-5.00 16.500 2 91.37
-4.00 16.500 2 98.11
-3.00 16.500 2 104.83
-2.00 16.500 2 111.52
-1.00 16.500 2 118.19
0.00 16.500 2 124.83
1.00 16.500 2 128.80
2.00 16.500 2 132.74
3.00 16.500 2 136.66
4.00 16.500 2 140.56
5.00 16.500 2 144.43
-10.00 17.000 2 59.22
-9.00 17.000 2 66.48
-8.00 17.000 2 73.72
-7.00 17.000 2 80.94
-6.00 17.000 2 88.14
-5.00 17.000 2 95.31
-4.00 17.000 2 102.46
-3.00 17.000 2 109.58
-2.00 17.000 2 116.68
-1.00 17.000 2 123.76
0.00 17.000 2 130.81
1.00 17.000 2 135.02
2.00 17.000 2 139.21
3.00 17.000 2 143.38
4.00 17.000 2 147.51
5.00 17.000 2 151.63
-10.00 17.500 2 61.17
-9.00 17.500 2 68.86
-8.00 17.500 2 76.52
-7.00 17.500 2 84.16
-6.00 17.500 2 91.78
-5.00 17.500 2 99.37
-4.00 17.500 2 106.94
-3.00 17.500 2 114.48
-2.00 17.500 2 122.00
-1.00 17.500 2 129.50
0.00 17.500 2 136.97
1.00 17.500 2 141.43
2.00 17.500 2 145.87
3.00 17.500 2 150.29
4.00 17.500 2 154.68
5.00 17.500 2 159.05
