alpha V cls h
-10.00 4.500 2 28.75
-9.00 4.500 2 29.48
-8.00 4.500 2 30.17
-7.00 4.500 2 30.84
-6.00 4.500 2 31.49
-5.00 4.500 2 32.12
-4.00 4.500 2 32.72
-3.00 4.500 2 33.30
-2.00 4.500 2 33.85
-1.00 4.500 2 34.38
0.00 4.500 2 34.88
1.00 4.500 2 35.17
2.00 4.500 2 35.43
3.00 4.500 2 35.66
4.00 4.500 2 35.88
5.00 4.500 2 36.06
-10.00 5.000 2 29.29
-9.00 5.000 2 30.13
-8.00 5.000 2 30.94
-7.00 5.000 2 31.73
-6.00 5.000 2 32.49
-5.00 5.000 2 33.23
-4.00 5.000 2 33.95
-3.00 5.000 2 34.64
-2.00 5.000 2 35.31
-1.00 5.000 2 35.96
0.00 5.000 2 36.58
1.00 5.000 2 36.93
2.00 5.000 2 37.26
3.00 5.000 2 37.57
4.00 5.000 2 37.85
5.00 5.000 2 38.11
-10.00 5.500 2 29.89
-9.00 5.500 2 30.85
-8.00 5.500 2 31.79
-7.00 5.500 2 32.71
-6.00 5.500 2 33.60
-5.00 5.500 2 34.47
-4.00 5.500 2 35.31
-3.00 5.500 2 36.13
-2.00 5.500 2 36.93
-1.00 5.500 2 37.70
0.00 5.500 2 38.45
1.00 5.500 2 38.88
2.00 5.500 2 39.29
3.00 5.500 2 39.67
4.00 5.500 2 40.03
5.00 5.500 2 40.36
-10.00 6.000 2 30.54
-9.00 6.000 2 31.64
-8.00 6.000 2 32.72
-7.00 6.000 2 33.78
-6.00 6.000 2 34.81
-5.00 6.000 2 35.82
-4.00 6.000 2 36.80
-3.00 6.000 2 37.77
-2.00 6.000 2 38.70
-1.00 6.000 2 39.62
0.00 6.000 2 40.51
1.00 6.000 2 41.02
2.00 6.000 2 41.51
3.00 6.000 2 41.98
4.00 6.000 2 42.42
5.00 6.000 2 42.84
-10.00 6.500 2 31.25
-9.00 6.500 2 32.50
-8.00 6.500 2 33.74
-7.00 6.500 2 34.95
-6.00 6.500 2 36.13
-5.00 6.500 2 37.29
-4.00 6.500 2 38.43
-3.00 6.500 2 39.54
-2.00 6.500 2 40.63
-1.00 6.500 2 41.69
0.00 6.500 2 42.73
1.00 6.500 2 43.34
2.00 6.500 2 43.92
3.00 6.500 2 44.48
4.00 6.500 2 45.01
5.00 6.500 2 45.52
-10.00 7.000 2 32.01
-9.00 7.000 2 33.43
-8.00 7.000 2 34.83
-7.00 7.000 2 36.20
-6.00 7.000 2 37.55
-5.00 7.000 2 38.88
-4.00 7.000 2 40.18
-3.00 7.000 2 41.46
-2.00 7.000 2 42.71
-1.00 7.000 2 43.94
0.00 7.000 2 45.15
1.00 7.000 2 45.85
2.00 7.000 2 46.53
3.00 7.000 2 47.19
4.00 7.000 2 47.82
5.00 7.000 2 48.43
-10.00 7.500 2 32.84
-9.00 7.500 2 34.43
-8.00 7.500 2 36.01
-7.00 7.500 2 37.55
-6.00 7.500 2 39.08
-5.00 7.500 2 40.58
-4.00 7.500 2 42.06
-3.00 7.500 2 43.51
-2.00 7.500 2 44.94
-1.00 7.500 2 46.35
0.00 7.500 2 47.73
1.00 7.500 2 48.54
2.00 7.500 2 49.33
3.00 7.500 2 50.09
4.00 7.500 2 50.83
5.00 7.500 2 51.54
-10.00 8.000 2 33.71
-9.00 8.000 2 35.50
-8.00 8.000 2 37.26
-7.00 8.000 2 39.00
-6.00 8.000 2 40.71
-5.00 8.000 2 42.40
-4.00 8.000 2 44.07
-3.00 8.000 2 45.71
-2.00 8.000 2 47.33
-1.00 8.000 2 48.93
0.00 8.000 2 50.50
1.00 8.000 2 51.42
2.00 8.000 2 52.32
3.00 8.000 2 53.20
4.00 8.000 2 54.05
5.00 8.000 2 54.88
-10.00 8.500 2 34.65
-9.00 8.500 2 36.63
-8.00 8.500 2 38.60
-7.00 8.500 2 40.54
-6.00 8.500 2 42.45
-5.00 8.500 2 44.34
-4.00 8.500 2 46.21
-3.00 8.500 2 48.06
-2.00 8.500 2 49.88
-1.00 8.500 2 51.67
0.00 8.500 2 53.44
1.00 8.500 2 54.49
2.00 8.500 2 55.51
3.00 8.500 2 56.50
4.00 8.500 2 57.48
5.00 8.500 2 58.42
-10.00 9.000 2 35.64
-9.00 9.000 2 37.84
-8.00 9.000 2 40.02
-7.00 9.000 2 42.17
-6.00 9.000 2 44.30
-5.00 9.000 2 46.40
-4.00 9.000 2 48.48
-3.00 9.000 2 50.54
-2.00 9.000 2 52.57
-1.00 9.000 2 54.58
0.00 9.000 2 56.57
1.00 9.000 2 57.74
2.00 9.000 2 58.89
3.00 9.000 2 60.01
4.00 9.000 2 61.11
5.00 9.000 2 62.19
-10.00 9.500 2 36.69
-9.00 9.500 2 39.11
-8.00 9.500 2 41.52
-7.00 9.500 2 43.89
-6.00 9.500 2 46.25
-5.00 9.500 2 48.58
-4.00 9.500 2 50.88
-3.00 9.500 2 53.16
-2.00 9.500 2 55.42
-1.00 9.500 2 57.66
0.00 9.500 2 59.87
1.00 9.500 2 61.18
2.00 9.500 2 62.46
3.00 9.500 2 63.72
4.00 9.500 2 64.95
5.00 9.500 2 66.17
-10.00 10.000 2 37.79
-9.00 10.000 2 40.46
-8.00 10.000 2 43.09
-7.00 10.000 2 45.71
-6.00 10.000 2 48.30
-5.00 10.000 2 50.87
-4.00 10.000 2 53.41
-3.00 10.000 2 55.93
