it n time energy barrier aux reached lf_min al_max
0 60 25.5661 0.2966 1.6933 0.2682 0.062 0.582 11.21
1 60 23.6405 0.2896 1.7787 0.2453 0.066 0.561 13.81
2 61 24.0400 0.2773 1.8249 0.2476 0.066 0.553 7.26
3 61 22.7949 0.2565 1.9036 0.2579 0.062 0.575 11.19
4 62 23.9764 0.3428 2.0183 0.2459 0.059 0.590 14.95
5 62 26.0289 0.3040 2.0774 0.2489 0.053 0.593 13.88
6 63 26.1847 0.3335 2.1181 0.2644 0.050 0.544 13.49
7 63 27.2504 0.3212 2.1547 0.2603 0.044 0.527 7.12
8 64 28.4505 0.3040 2.1886 0.2482 0.038 0.594 12.64
9 64 28.6159 0.3337 2.2225 0.2670 0.031 0.552 10.31
10 65 31.1876 0.3645 2.1649 0.2864 0.025 0.687 9.80
11 65 26.6087 0.3007 2.0951 0.2686 0.016 0.670 14.95
12 66 24.4323 0.3078 2.0890 0.2807 0.009 0.486 8.85
13 66 27.0201 0.2864 1.9707 0.2569 0.009 0.700 8.75
14 67 27.4970 0.3511 1.8047 0.2696 0.009 0.675 10.52
15 67 26.3527 0.3338 1.6887 0.2563 0.009 0.682 9.27
16 68 27.2204 0.3140 1.6281 0.2957 0.013 0.638 7.22
17 68 28.9728 0.3132 1.5853 0.2745 0.013 0.634 13.37
18 69 28.0265 0.2867 1.5489 0.2815 0.016 0.635 10.28
19 69 25.9247 0.3205 1.5876 0.3094 0.016 0.613 13.25
20 70 28.7296 0.3752 1.6336 0.2893 0.016 0.641 6.43
21 70 28.6344 0.3215 1.5988 0.2758 0.019 0.686 10.86
22 71 25.7205 0.3875 1.5546 0.3066 0.025 0.703 8.46
23 71 28.3819 0.4048 1.6163 0.3156 0.031 0.673 10.96
24 72 29.0560 0.3718 1.6813 0.2988 0.031 0.595 8.00
25 72 29.1212 0.3654 1.6713 0.2779 0.031 0.683 5.32
26 73 28.9460 0.3955 1.6499 0.2862 0.031 0.699 9.32
27 73 30.5224 0.3758 1.6484 0.3337 0.031 0.622 8.36
28 74 29.0620 0.4022 1.6306 0.3108 0.034 0.622 10.35
29 74 28.9868 0.3805 1.5399 0.2928 0.038 0.667 5.21
30 75 26.8510 0.4039 1.4681 0.3085 0.050 0.771 3.52
31 75 29.0438 0.3807 1.4832 0.2719 0.050 0.596 8.43
32 76 30.9059 0.4052 1.5077 0.3355 0.044 0.619 6.21
33 76 29.7147 0.4204 1.4990 0.3346 0.038 0.497 5.36
34 77 29.0291 0.4405 1.4331 0.3528 0.041 0.668 5.77
35 77 28.4027 0.3739 1.5736 0.3430 0.047 0.603 6.07
36 78 28.8367 0.4207 1.7140 0.3283 0.050 0.625 6.73
37 78 29.6691 0.4157 1.7873 0.3181 0.056 0.561 10.32
38 79 30.1262 0.4659 1.7676 0.3495 0.053 0.753 9.16
39 79 30.1990 0.4135 1.7746 0.3146 0.056 0.639 6.68
40 80 30.8137 0.4659 1.9209 0.3352 0.047 0.487 5.03
41 80 33.8828 0.4613 1.8932 0.3359 0.044 0.625 6.37
42 81 32.0086 0.4069 1.9423 0.3343 0.044 0.565 5.90
43 81 27.7867 0.4270 1.9188 0.3381 0.053 0.661 8.31
44 82 28.2196 0.4153 2.0160 0.3330 0.059 0.668 5.41
45 82 30.6562 0.4376 1.9716 0.3667 0.056 0.588 5.22
46 83 29.1713 0.4424 2.0003 0.3425 0.056 0.639 10.78
47 83 28.9058 0.4238 1.9248 0.3297 0.056 0.532 6.20
48 84 27.5306 0.4312 2.0500 0.3632 0.069 0.599 6.37
49 84 26.9414 0.4284 2.1633 0.3405 0.078 0.616 8.65
50 85 29.8324 0.4421 2.1564 0.3377 0.078 0.679 7.48
51 85 31.0269 0.4333 2.4366 0.3891 0.084 0.525 9.69
52 86 30.0637 0.4354 2.4641 0.3334 0.100 0.597 9.04
53 86 29.9578 0.4708 2.5857 0.3297 0.094 0.619 7.40
54 87 30.0607 0.4333 2.5713 0.3530 0.091 0.748 5.32
55 87 29.1354 0.4737 2.5640 0.3688 0.097 0.738 6.90
56 88 30.7899 0.4930 2.5334 0.3843 0.109 0.451 6.49
57 88 25.8847 0.4624 2.5391 0.3659 0.131 0.787 7.64
58 89 30.1242 0.4831 2.5881 0.3783 0.138 0.701 8.06
59 89 26.5944 0.4489 2.5345 0.4231 0.150 0.597 5.98
60 90 28.9315 0.4424 2.6516 0.3520 0.175 0.590 5.50
61 90 27.9874 0.4728 2.5249 0.3890 0.181 0.611 8.55
62 91 29.6244 0.4896 2.4775 0.3782 0.188 0.666 6.29
63 91 29.9132 0.4827 2.5600 0.3673 0.191 0.606 8.36
64 92 28.9805 0.4646 2.7608 0.3844 0.200 0.494 7.97
65 92 27.6392 0.4808 2.8140 0.3825 0.213 0.624 11.32
66 93 28.3937 0.4911 2.8792 0.3816 0.206 0.511 9.29
67 93 31.4874 0.4756 2.9314 0.3766 0.184 0.655 9.47
68 94 31.3439 0.4990 2.9401 0.3825 0.175 0.642 9.95
69 94 29.4497 0.4812 3.0680 0.3939 0.163 0.593 10.32
70 95 27.9961 0.5073 2.9699 0.4120 0.172 0.614 6.50
71 95 28.5010 0.5230 2.8426 0.4052 0.194 0.697 6.74
72 96 26.9374 0.5003 2.9842 0.4186 0.206 0.595 8.42
73 96 26.0357 0.4942 2.8962 0.3851 0.222 0.566 7.88
74 97 29.6313 0.5082 2.8841 0.3880 0.241 0.515 7.46
75 97 29.7590 0.5287 2.9725 0.3938 0.250 0.638 6.39
76 98 29.2198 0.5270 3.0387 0.3999 0.269 0.601 7.33
77 98 32.1245 0.5302 3.1114 0.4014 0.300 0.606 5.51
78 99 30.3310 0.5262 3.0341 0.3899 0.328 0.592 10.56
79 99 28.8239 0.5371 2.9101 0.3689 0.356 0.635 7.74
80 100 30.2097 0.5486 2.9648 0.4134 0.363 0.583 6.38
81 100 29.5492 0.5382 3.0002 0.4965 0.372 0.701 8.40
82 101 29.3275 0.5299 2.9369 0.4348 0.381 0.657 6.24
83 101 29.6154 0.5491 3.0278 0.3883 0.416 0.601 8.38
84 102 27.8603 0.5644 3.0154 0.4058 0.431 0.518 7.16
85 102 30.1421 0.5289 3.0233 0.3944 0.428 0.653 11.61
86 103 25.7345 0.5679 2.9414 0.4226 0.444 0.596 9.86
87 103 28.7836 0.5659 3.1387 0.4476 0.453 0.445 9.23
88 104 26.6486 0.5532 3.2165 0.4613 0.459 0.608 7.62
89 104 30.7751 0.5675 3.2832 0.4503 0.453 0.672 9.64
90 105 25.8327 0.5935 3.1786 0.3887 0.472 0.738 8.82
91 105 29.9763 0.5720 3.3455 0.4418 0.469 0.570 8.84
92 106 30.2541 0.5584 3.4338 0.4409 0.462 0.641 9.81
93 106 29.4025 0.5547 3.4819 0.4073 0.431 0.489 6.60
94 107 29.7147 0.5577 3.5522 0.3935 0.413 0.552 5.28
95 107 29.0336 0.5749 3.6510 0.4223 0.416 0.642 6.46
96 108 29.2969 0.5762 3.8123 0.4592 0.409 0.371 8.06
97 108 26.8750 0.5733 3.6755 0.4052 0.406 0.662 9.14
98 109 29.5836 0.5604 3.7360 0.4726 0.394 0.618 9.07
99 109 28.8657 0.5529 3.8792 0.4538 0.394 0.581 7.24
100 110 29.4412 0.5526 4.1965 0.4313 0.378 0.570 6.52
101 110 30.6052 0.5574 4.3338 0.4347 0.369 0.530 9.32
102 111 27.6094 0.5781 4.2831 0.4527 0.369 0.703 9.62
103 111 26.4828 0.5708 4.3160 0.4453 0.397 0.617 10.50
104 112 28.9791 0.5532 4.2258 0.4199 0.409 0.658 11.69
105 112 27.1369 0.5224 4.1907 0.4782 0.428 0.682 5.75
106 113 30.6942 0.5326 4.2125 0.4982 0.422 0.551 13.07
107 113 28.7494 0.5420 4.2834 0.5000 0.431 0.642 9.96
108 114 28.7398 0.5485 4.4083 0.4788 0.431 0.498 7.61
109 114 26.9696 0.5570 4.5065 0.4733 0.453 0.600 6.85
110 115 26.6817 0.5488 4.4767 0.4503 0.453 0.519 10.76
111 115 27.2784 0.5335 4.4332 0.4798 0.466 0.592 9.04
112 116 26.4466 0.5119 4.4749 0.5230 0.472 0.668 14.90
113 116 27.6292 0.5265 4.4251 0.5160 0.466 0.481 6.81
114 117 28.5230 0.5182 4.3563 0.4551 0.463 0.746 7.72
115 117 30.6761 0.5197 4.6211 0.4767 0.438 0.489 8.76
116 118 28.2202 0.5085 4.4646 0.4721 0.438 0.552 8.35
117 118 27.4574 0.5209 4.3781 0.4622 0.428 0.706 8.55
118 119 27.3271 0.5328 4.3692 0.4949 0.438 0.662 7.91
119 119 27.1695 0.4855 4.4164 0.4602 0.434 0.536 14.52
120 120 27.2785 0.5257 4.2672 0.4879 0.453 0.670 13.01
121 120 27.2442 0.4839 4.1967 0.5340 0.459 0.625 9.79
122 121 27.0345 0.4872 4.1629 0.4762 0.447 0.623 7.50
123 121 25.8247 0.5118 4.4241 0.5069 0.459 0.464 9.84
124 122 25.3276 0.5340 4.6533 0.5040 0.472 0.410 11.70
125 122 26.5578 0.4946 4.3897 0.4976 0.503 0.422 8.20
126 123 26.1307 0.5317 4.5617 0.5381 0.534 0.588 7.73
127 123 25.7316 0.5043 4.8784 0.5486 0.547 0.512 6.71
128 124 24.7766 0.5121 4.8749 0.5680 0.553 0.509 5.39
129 124 26.6558 0.4846 4.8742 0.5578 0.569 0.692 7.67
130 125 27.3173 0.4776 4.9819 0.4998 0.550 0.677 7.81
131 125 26.3073 0.5003 5.0667 0.5066 0.547 0.531 8.60
132 126 25.1102 0.5223 5.2096 0.5488 0.584 0.692 11.24
133 126 26.0670 0.5044 5.0491 0.5456 0.591 0.581 9.83
134 127 23.8682 0.4245 4.9124 0.4966 0.603 0.577 11.39
135 127 24.9542 0.4704 5.0095 0.5023 0.616 0.529 8.10
136 128 27.4937 0.4604 5.1348 0.5361 0.594 0.574 9.25
137 128 25.6890 0.5114 5.0075 0.5498 0.597 0.528 8.62
138 129 26.2333 0.5268 4.8498 0.5711 0.600 0.663 6.64
139 129 25.2302 0.4963 4.8980 0.5582 0.594 0.377 9.79
140 130 27.8240 0.4881 5.2159 0.5823 0.600 0.475 12.69
141 130 27.9938 0.4915 5.4203 0.5039 0.609 0.436 10.97
142 131 27.9584 0.5039 5.4975 0.5633 0.600 0.580 9.74
143 131 26.4525 0.5081 5.6600 0.5816 0.584 0.447 12.85
144 132 27.7500 0.5199 5.6095 0.5228 0.553 0.608 8.73
145 132 28.6375 0.4958 5.4499 0.5610 0.544 0.692 9.25
146 133 25.7916 0.5672 5.2933 0.5630 0.550 0.458 10.09
147 133 26.5421 0.5150 5.1726 0.5348 0.541 0.604 7.59
148 134 26.9133 0.5200 5.5269 0.5558 0.534 0.523 7.90
149 134 24.7615 0.5826 5.3106 0.5882 0.534 0.532 7.06
150 135 28.5457 0.5415 5.1954 0.5978 0.556 0.492 14.32
151 135 26.5949 0.4883 4.9137 0.5913 0.556 0.440 9.66
152 136 26.1000 0.5506 4.8116 0.5410 0.563 0.607 9.43
153 136 30.7448 0.5486 4.7171 0.5942 0.553 0.538 13.48
154 137 27.7682 0.5441 5.0290 0.5697 0.575 0.516 8.70
155 137 26.3063 0.5547 5.1163 0.5729 0.575 0.665 10.68
156 138 27.5705 0.5772 5.2058 0.5903 0.572 0.323 5.48
157 138 27.3283 0.5649 5.2252 0.5590 0.581 0.569 11.93
158 139 26.6457 0.5545 5.0503 0.5237 0.581 0.510 10.33
159 139 26.3869 0.5330 5.4005 0.5611 0.588 0.500 9.46
160 140 26.3850 0.5414 5.2575 0.6017 0.572 0.495 10.35
161 140 27.6288 0.5470 5.4822 0.6116 0.584 0.541 13.51
162 141 26.6701 0.5723 5.4578 0.6069 0.588 0.489 9.78
163 141 29.1814 0.5447 5.3597 0.5859 0.597 0.624 11.30
164 142 26.6800 0.5283 5.1605 0.6103 0.597 0.582 12.34
165 142 27.5696 0.5269 5.2541 0.6172 0.587 0.606 11.26
166 143 28.2798 0.5139 5.2892 0.5501 0.612 0.570 9.88
167 143 28.2929 0.5651 5.7878 0.6036 0.609 0.358 10.54
168 144 27.5540 0.5890 5.7780 0.6613 0.628 0.581 9.37
169 144 26.4968 0.5916 5.6203 0.5581 0.622 0.505 8.50
170 145 26.8300 0.5764 5.7773 0.6150 0.625 0.542 12.22
171 145 27.3362 0.5232 5.6520 0.5677 0.616 0.431 13.34
172 146 27.5192 0.6179 5.8182 0.6283 0.625 0.429 7.54
173 146 27.2283 0.5918 5.7375 0.5714 0.638 0.670 10.07
174 147 28.4599 0.5549 5.8145 0.5879 0.650 0.419 7.74
175 147 27.8736 0.6164 5.6901 0.6462 0.672 0.650 10.48
176 148 27.7783 0.6544 5.6674 0.6446 0.675 0.631 8.42
177 148 27.2593 0.5816 5.0959 0.6075 0.684 0.707 10.07
178 149 26.2791 0.6025 5.1357 0.6225 0.688 0.578 8.05
179 149 26.5550 0.6278 5.2011 0.5814 0.675 0.574 10.66
180 150 27.8147 0.6607 5.0735 0.6030 0.666 0.612 10.34
181 150 28.7873 0.6054 5.2470 0.6416 0.666 0.465 12.63
182 151 27.5855 0.5869 5.0039 0.6288 0.666 0.658 8.65
183 151 29.1437 0.6440 5.3429 0.6364 0.659 0.403 7.19
184 152 26.2807 0.6337 5.3258 0.6933 0.641 0.447 9.86
185 152 26.0201 0.6786 5.5625 0.6292 0.656 0.397 6.83
186 153 27.5600 0.6326 5.4736 0.6480 0.650 0.575 9.72
187 153 27.3248 0.7243 5.4130 0.6212 0.663 0.636 5.66
188 154 28.1942 0.5824 5.5546 0.6144 0.662 0.381 11.46
189 154 27.3209 0.6086 5.4279 0.6476 0.666 0.548 13.76
190 155 28.7421 0.6360 5.5098 0.6337 0.678 0.477 11.72
191 155 29.9041 0.6450 5.3601 0.6407 0.669 0.418 10.58
192 156 29.3773 0.5778 5.5080 0.6856 0.641 0.504 9.54
193 156 29.6963 0.5558 5.4410 0.6355 0.641 0.563 13.37
194 157 27.8400 0.6096 5.3288 0.6504 0.656 0.609 13.61
195 157 28.8419 0.6229 5.3920 0.6632 0.631 0.344 10.78
196 158 27.4512 0.6287 5.6295 0.6789 0.603 0.450 8.93
197 158 30.6626 0.6372 5.9746 0.6568 0.581 0.436 10.03
198 159 29.7224 0.6095 5.7636 0.6010 0.559 0.601 12.19
199 159 28.3171 0.6116 5.7657 0.6151 0.584 0.549 7.92
200 160 28.5422 0.6473 5.5443 0.6701 0.578 0.614 12.32
201 160 29.6242 0.6665 5.5488 0.6834 0.581 0.405 10.90
202 161 28.3605 0.6784 5.4116 0.6560 0.603 0.602 9.45
203 161 28.4295 0.6681 5.5120 0.6115 0.631 0.509 5.73
204 162 27.2379 0.6961 5.7088 0.6813 0.622 0.604 12.37
205 162 26.8287 0.6978 5.7444 0.7234 0.637 0.423 8.74
206 163 32.0735 0.7175 5.5230 0.7223 0.641 0.505 10.31
207 163 28.3633 0.7015 5.4165 0.6514 0.644 0.523 10.92
208 164 29.2835 0.6924 5.5564 0.6861 0.663 0.553 11.46
209 164 29.9578 0.6329 5.6743 0.6558 0.663 0.351 8.69
210 165 28.4538 0.6641 6.1349 0.7187 0.678 0.591 10.81
211 165 30.0372 0.6696 6.3345 0.6772 0.688 0.399 9.71
212 166 30.0904 0.6743 6.7479 0.7203 0.697 0.487 10.90
213 166 29.8569 0.7247 6.5547 0.6630 0.675 0.509 11.35
214 167 28.9276 0.7292 6.6351 0.7131 0.684 0.550 12.54
215 167 28.5914 0.7827 7.0048 0.6940 0.669 0.305 11.69
216 168 29.0168 0.6955 7.0950 0.6547 0.694 0.474 12.51
217 168 29.7880 0.8021 7.4531 0.6640 0.703 0.426 11.76
218 169 28.3853 0.7039 7.2770 0.6614 0.709 0.556 10.52
219 169 28.1241 0.6826 7.1412 0.6939 0.691 0.564 13.41
220 170 30.0068 0.7132 7.0603 0.6715 0.681 0.466 9.35
221 170 26.8015 0.8102 7.0558 0.6434 0.697 0.519 13.97
222 171 28.2225 0.8138 6.7072 0.7164 0.684 0.526 8.24
223 171 27.4369 0.8907 6.8450 0.7060 0.703 0.454 5.30
224 172 29.7509 0.7728 7.0489 0.6568 0.691 0.161 9.79
225 172 31.1728 0.7709 6.7211 0.7274 0.691 0.436 11.34
226 173 28.4450 0.8879 6.8639 0.6925 0.700 0.462 9.58
227 173 29.8945 0.7359 6.5712 0.7364 0.716 0.613 12.24
228 174 29.9494 0.8134 6.6412 0.7406 0.700 0.654 8.65
229 174 27.7701 0.7741 6.5737 0.7234 0.713 0.579 9.76
230 175 26.3184 0.7456 6.2580 0.7221 0.725 0.486 8.27
231 175 32.1402 0.7254 6.1632 0.7263 0.719 0.512 8.81
232 176 30.8124 0.6615 6.5241 0.7727 0.719 0.490 12.89
233 176 29.0137 0.8195 6.5679 0.7830 0.706 0.447 9.37
234 177 28.4850 0.7301 6.5645 0.7948 0.725 0.320 10.16
235 177 29.1575 0.7459 6.6873 0.7778 0.741 0.483 10.81
236 178 30.3080 0.7407 6.6462 0.7613 0.734 0.595 8.22
237 178 31.9779 0.7912 7.0743 0.7846 0.716 0.533 11.99
238 179 28.4842 0.7960 7.1766 0.7570 0.734 0.347 10.23
239 179 29.1451 0.7051 7.3814 0.6970 0.744 0.657 6.94
240 180 27.0521 0.7551 7.5919 0.7029 0.747 0.561 14.95
241 180 29.2306 0.7803 7.4374 0.7621 0.741 0.631 11.60
242 181 31.6744 0.8153 7.2517 0.7723 0.744 0.543 11.96
243 181 29.9907 0.8493 7.1724 0.7850 0.753 0.473 8.38
244 182 30.3142 0.8385 7.0263 0.7347 0.747 0.577 9.40
245 182 28.0690 0.8455 6.6680 0.7079 0.763 0.547 6.15
246 183 29.9990 0.7703 6.8453 0.7601 0.762 0.462 8.67
247 183 28.4991 0.8011 6.5480 0.7586 0.784 0.449 9.27
248 184 31.0285 0.8214 6.6136 0.7408 0.787 0.555 11.99
249 184 30.1759 0.7170 6.5592 0.7162 0.775 0.548 11.21
250 185 30.2035 0.7605 6.3821 0.7903 0.759 0.602 11.42
251 185 31.5820 0.8042 6.8510 0.8105 0.756 0.365 11.55
252 186 28.4596 0.7913 6.9404 0.8052 0.747 0.563 10.85
253 186 32.6595 0.7245 7.1579 0.7328 0.731 0.442 8.12
254 187 30.0297 0.8243 7.2861 0.7337 0.738 0.500 6.99
255 187 29.2908 0.9186 7.4509 0.7987 0.722 0.546 7.88
256 188 29.6276 0.8589 7.2140 0.7343 0.731 0.574 11.37
257 188 29.5572 0.7826 6.9838 0.8094 0.725 0.506 7.11
258 189 32.0643 0.9345 6.8816 0.8622 0.734 0.422 6.84
259 189 27.8913 0.8634 6.7638 0.8209 0.750 0.393 8.08
260 190 30.1443 0.8469 7.0730 0.7345 0.753 0.537 9.12
261 190 29.4173 0.8140 6.6955 0.7619 0.766 0.461 6.93
262 191 31.4749 0.9072 6.6487 0.8695 0.769 0.616 12.57
263 191 27.1217 0.9212 6.5722 0.7581 0.791 0.473 13.30
264 192 29.4020 0.9285 6.3936 0.8384 0.794 0.349 8.96
265 192 28.2533 0.8044 6.2050 0.7047 0.788 0.629 10.22
266 193 29.4945 0.8165 6.2326 0.8484 0.791 0.427 8.33
267 193 31.7745 0.8935 6.2664 0.8265 0.772 0.598 11.63
268 194 32.1086 0.8490 6.3506 0.8550 0.759 0.652 12.40
269 194 30.4537 0.6768 6.4522 0.8460 0.756 0.532 8.37
270 195 31.5269 0.8464 6.3302 0.8579 0.759 0.572 10.26
271 195 29.2396 0.8836 6.4165 0.7823 0.775 0.544 8.25
272 196 29.1608 0.9322 6.6417 0.8479 0.800 0.429 10.63
273 196 29.4951 0.8566 6.5984 0.8082 0.803 0.513 7.55
274 197 30.4335 0.8187 6.6657 0.8661 0.803 0.514 9.31
275 197 28.3951 0.8584 6.7654 0.8656 0.812 0.124 9.27
276 198 31.6750 0.8893 6.9711 0.8395 0.791 0.561 10.10
277 198 30.0703 0.9726 7.0577 0.7909 0.819 0.528 9.81
278 199 30.0291 0.8650 7.2000 0.9091 0.816 0.254 13.54
279 199 28.8505 0.9581 7.2432 0.8932 0.809 0.573 10.53
280 200 28.3829 0.9656 7.2613 0.8486 0.816 0.515 7.99
281 200 28.6794 0.9985 7.3827 0.8605 0.800 0.472 10.45
282 201 31.1351 0.9078 7.2101 0.9228 0.794 0.432 8.06
283 201 30.0020 0.9731 7.2420 0.8894 0.794 0.315 8.11
284 202 28.0057 1.0122 7.2005 0.7620 0.800 0.567 14.99
285 202 30.2240 0.8463 7.2982 0.8120 0.800 0.462 13.03
286 203 29.7793 0.8605 7.1907 0.8153 0.812 0.502 9.77
287 203 31.0010 0.9629 7.2061 0.8040 0.797 0.592 10.02
288 204 31.2750 0.9670 6.9921 0.7758 0.806 0.520 8.48
289 204 31.9253 0.9237 7.1947 0.7966 0.806 0.486 11.18
290 205 31.9397 0.9875 7.5390 0.8194 0.806 0.336 14.23
291 205 31.3376 0.9791 7.7003 0.7844 0.822 0.540 8.41
292 206 32.6443 1.0041 7.5849 0.8061 0.822 0.514 8.44
293 206 29.8782 1.0934 7.6979 0.8956 0.816 0.469 11.63
294 207 29.2549 1.0303 7.6992 0.8994 0.825 0.370 11.92
295 207 28.5965 0.9574 7.6636 0.8818 0.838 0.478 13.65
296 208 31.2716 0.8987 7.6399 0.8936 0.838 0.470 12.08
297 208 29.7960 0.9512 7.9191 0.9245 0.850 0.468 9.66
298 209 30.6266 0.9705 8.3406 0.8753 0.853 0.504 9.31
299 209 30.5199 0.9670 8.3578 0.8980 0.866 0.433 9.28
300 210 32.3031 0.9686 8.1021 0.8638 0.881 0.496 11.49
301 210 30.8778 0.9514 8.1814 0.9083 0.878 0.532 7.50
302 211 30.6367 1.1767 8.4350 0.9305 0.888 0.308 6.79
303 211 29.7575 0.9032 8.2513 0.9141 0.894 0.550 9.68
304 212 30.0234 1.0399 8.2910 0.8682 0.878 0.618 14.94
305 212 31.3225 0.8938 8.3978 0.8986 0.856 0.378 13.79
306 213 28.5127 0.8350 8.0497 0.8526 0.866 0.681 10.71
307 213 28.8605 0.8435 7.9119 0.8790 0.859 0.473 9.49
308 214 29.2673 0.9160 7.4849 0.8962 0.863 0.582 12.42
309 214 30.5611 1.1424 7.8255 0.9078 0.850 0.301 10.88
310 215 30.5681 1.0583 8.0024 0.9926 0.847 0.456 10.55
311 215 29.7569 1.1127 7.6953 0.9571 0.844 0.549 9.64
312 216 29.3527 0.9647 7.7866 0.8513 0.838 0.414 9.22
313 216 31.3002 0.9803 7.8294 0.9021 0.844 0.489 9.85
314 217 32.0561 1.0788 7.8204 0.9191 0.850 0.324 11.42
315 217 31.1309 1.0210 7.7605 0.9073 0.872 0.439 10.43
316 218 30.6909 1.0799 8.3549 0.9675 0.875 0.485 11.32
317 218 27.7870 1.1512 8.4958 0.9300 0.881 0.483 5.76
318 219 28.3119 1.2115 8.9041 0.9198 0.887 0.584 8.01
319 219 29.1081 1.0928 8.5531 0.8832 0.903 0.561 11.39
320 220 30.5181 1.1685 8.5544 0.9909 0.900 0.064 11.26
321 220 30.0904 1.1861 8.8717 0.9136 0.906 0.377 12.19
322 221 29.3180 0.9843 8.7707 0.9048 0.916 0.231 9.79
323 221 30.2717 1.0867 8.9667 0.9763 0.906 0.404 10.08
324 222 31.7344 0.9573 9.0035 0.9295 0.916 0.562 9.76
325 222 31.2501 1.0571 8.9609 0.8970 0.900 0.444 9.27
326 223 31.5190 1.1162 8.8159 0.9144 0.900 0.502 6.67
327 223 30.7088 1.0666 8.7178 0.9543 0.900 0.547 13.96
328 224 29.6596 1.0105 8.4211 0.9208 0.900 0.543 8.49
329 224 30.0619 1.1422 8.2698 0.9786 0.894 0.239 9.73
330 225 29.9384 1.1261 8.2730 0.9854 0.900 0.217 10.06
331 225 28.5259 1.0904 8.1991 0.8883 0.903 0.382 12.07
332 226 28.1600 1.1873 8.3656 0.9339 0.900 0.446 14.26
333 226 30.8477 1.1448 8.1355 0.9711 0.909 0.481 8.80
334 227 28.8835 1.3418 8.1539 0.8709 0.909 0.555 8.17
335 227 30.7836 1.1142 8.0875 0.9179 0.922 0.567 9.71
336 228 29.7878 1.0616 7.9607 0.9089 0.922 0.509 12.32
337 228 29.8772 1.2501 7.9741 0.9120 0.925 0.456 9.59
338 229 29.1812 1.1224 8.2951 0.9075 0.928 0.380 13.35
339 229 28.8290 1.0034 8.4493 1.0018 0.934 0.444 14.09
340 230 31.3677 1.2866 8.4327 0.9703 0.934 0.262 10.17
341 230 30.3539 1.1691 8.1638 0.9744 0.934 0.636 14.96
342 231 31.3116 0.9755 8.1090 1.0685 0.928 0.327 9.83
343 231 30.8838 1.0963 7.9714 0.9277 0.922 0.557 9.81
344 232 31.3341 1.1226 8.4341 0.9501 0.922 0.368 6.64
345 232 28.2186 0.9434 8.4620 1.0160 0.925 0.517 11.63
346 233 29.7882 1.1576 8.8664 0.9059 0.922 0.443 9.80
347 233 29.1089 1.1337 8.9394 0.9251 0.928 0.463 10.28
348 234 28.3592 1.1491 8.7790 1.0084 0.925 0.566 12.90
349 234 30.3752 1.2051 8.7759 0.9235 0.925 0.493 7.85
350 235 28.5369 1.1056 8.6076 0.9868 0.928 0.449 9.80
351 235 27.7422 1.0831 8.6273 1.0706 0.931 0.570 10.46
352 236 29.5992 1.1225 8.3319 1.0036 0.938 0.653 8.55
353 236 31.1326 1.1856 8.6530 0.9967 0.941 0.462 10.30
354 237 30.2828 1.3030 8.3711 0.9138 0.947 0.340 7.81
355 237 30.5659 0.9790 8.4631 0.9910 0.950 0.514 9.22
356 238 31.3687 1.1815 8.4232 0.9594 0.956 0.557 9.50
357 238 29.3640 1.1900 8.2079 0.9182 0.950 0.551 8.18
358 239 30.6135 1.2286 8.1762 0.9954 0.953 0.470 8.97
359 239 29.2563 1.1985 8.1297 1.0083 0.956 0.488 11.32
