it n time energy barrier aux reached lf_min al_max
0 60 25.5661 0.2966 1.6933 0.2705 0.062 0.582 11.21
1 60 23.6426 0.2899 1.7784 0.2543 0.062 0.560 13.72
2 61 24.0359 0.2780 1.8240 0.2589 0.062 0.551 7.14
3 62 23.1433 0.2619 1.9034 0.2646 0.059 0.567 10.70
4 62 27.8658 0.3060 1.9652 0.2475 0.056 0.516 10.01
5 63 23.6177 0.2851 1.9312 0.2541 0.059 0.547 11.54
6 64 27.5886 0.3400 1.8614 0.2814 0.056 0.775 8.91
7 64 25.3203 0.2936 1.9490 0.2392 0.056 0.435 11.70
8 65 24.3720 0.3267 1.9475 0.2707 0.056 0.597 13.82
9 66 26.7936 0.3325 1.9481 0.2812 0.056 0.568 7.40
10 67 25.8123 0.3644 1.9126 0.2690 0.053 0.618 13.84
11 67 26.9738 0.3211 1.8345 0.2883 0.047 0.344 6.55
12 68 26.8314 0.3565 1.7391 0.2744 0.050 0.621 11.21
13 69 27.2671 0.3688 1.6953 0.3145 0.050 0.614 4.69
14 69 28.0671 0.3706 1.6039 0.2759 0.050 0.507 8.61
15 70 26.4040 0.3354 1.5762 0.2774 0.047 0.706 10.24
16 71 27.5896 0.3563 1.6265 0.2842 0.044 0.661 5.39
17 72 28.0772 0.3596 1.4805 0.3009 0.044 0.679 7.96
18 72 29.2192 0.3861 1.4528 0.3015 0.037 0.727 7.62
19 73 27.6074 0.3561 1.4146 0.2769 0.031 0.684 8.06
20 74 26.1932 0.3554 1.4557 0.3104 0.034 0.644 6.14
21 74 28.5987 0.3819 1.5219 0.2879 0.037 0.544 5.80
22 75 26.9901 0.3761 1.5981 0.3236 0.034 0.616 7.75
23 76 26.3094 0.3727 1.5703 0.3083 0.044 0.634 7.83
24 77 25.0093 0.3620 1.6223 0.3075 0.053 0.746 8.90
25 77 26.4086 0.3910 1.6998 0.3037 0.056 0.677 11.65
26 78 23.8969 0.4084 1.8022 0.3023 0.075 0.649 8.91
27 79 24.4955 0.3872 2.0333 0.3443 0.081 0.637 9.58
28 79 27.6282 0.4177 2.0696 0.3458 0.081 0.622 7.80
29 80 22.7172 0.4316 2.1686 0.3330 0.103 0.652 4.77
30 81 26.6890 0.4247 2.3082 0.3247 0.113 0.640 6.63
31 81 26.3244 0.4085 2.2616 0.3462 0.119 0.687 8.57
32 82 26.9826 0.4336 2.3300 0.3749 0.125 0.458 6.37
33 83 27.3711 0.4531 2.3229 0.3368 0.122 0.743 5.47
34 84 25.7082 0.4582 2.3755 0.3339 0.119 0.633 4.85
35 84 24.8221 0.4651 2.4718 0.3424 0.141 0.600 4.45
36 85 26.2844 0.4641 2.4928 0.3391 0.166 0.562 3.33
37 86 27.4647 0.4909 2.4110 0.3663 0.181 0.632 4.40
38 86 26.1076 0.4820 2.5708 0.3389 0.206 0.516 5.05
39 87 29.3156 0.5022 2.5528 0.3707 0.219 0.601 4.84
40 88 27.3597 0.4791 2.5875 0.3646 0.225 0.664 5.47
41 89 25.4400 0.4446 2.5601 0.3771 0.241 0.715 4.27
42 89 28.0264 0.4785 2.5755 0.3742 0.247 0.642 3.34
43 90 27.2058 0.4803 2.6806 0.3982 0.266 0.557 6.60
44 91 27.4894 0.5003 2.7196 0.3862 0.287 0.528 7.43
45 91 28.9103 0.4887 2.6436 0.3511 0.278 0.675 5.26
46 92 28.1145 0.4932 2.6743 0.3926 0.266 0.668 7.35
47 93 27.6272 0.5053 2.8187 0.3701 0.275 0.364 6.38
48 94 26.2640 0.5006 2.6941 0.3855 0.284 0.649 8.32
49 94 27.0183 0.5080 2.7489 0.3702 0.287 0.687 6.56
50 95 27.5613 0.4999 2.7109 0.3690 0.300 0.542 8.49
51 96 27.7968 0.4858 2.8842 0.3871 0.303 0.579 12.42
52 96 28.2556 0.4822 2.8547 0.4106 0.306 0.675 11.38
53 97 26.7952 0.4982 2.8085 0.4110 0.316 0.708 10.93
54 98 28.7887 0.5070 2.8243 0.4283 0.312 0.445 6.52
55 98 29.2879 0.5074 2.9924 0.4246 0.316 0.574 8.06
56 99 26.0992 0.5496 2.9187 0.4321 0.341 0.616 7.37
57 100 31.4200 0.5297 2.8378 0.4412 0.328 0.291 8.95
58 101 26.7598 0.5800 3.0864 0.4039 0.353 0.557 5.77
59 101 27.7703 0.5451 3.0315 0.4020 0.359 0.634 6.11
60 102 27.8656 0.5430 3.0181 0.4470 0.369 0.496 7.62
61 103 28.1481 0.5408 3.0810 0.4345 0.378 0.520 13.51
62 103 24.3505 0.5286 3.0691 0.4207 0.397 0.523 8.91
63 104 29.2340 0.5105 3.0888 0.4518 0.388 0.620 8.99
