it n time energy barrier aux reached lf_min al_max
88 104 5.0352 0.4343 3.6314 0.4570 0.184 0.616 6.11
89 104 5.1342 0.4801 3.7238 0.4475 0.178 0.681 5.40
90 105 5.0838 0.4262 3.5498 0.3836 0.178 0.667 3.84
91 105 5.2182 0.4537 3.7065 0.4418 0.169 0.742 5.44
92 106 5.2137 0.4505 3.7550 0.4386 0.169 0.649 12.88
93 106 5.1698 0.4565 3.6702 0.4021 0.172 0.496 4.55
94 107 5.2904 0.4081 3.8015 0.3974 0.166 0.506 3.64
95 107 5.2065 0.4532 3.9943 0.4213 0.172 0.634 7.03
96 108 5.3272 0.4176 4.3405 0.4547 0.159 0.405 14.94
97 108 5.2269 0.4345 4.0276 0.4002 0.163 0.641 3.11
98 109 5.3458 0.4532 4.0166 0.4753 0.163 0.638 4.21
99 109 5.3162 0.4443 4.2837 0.4515 0.172 0.608 8.97
100 110 5.3852 0.4153 4.6274 0.4293 0.169 0.620 4.78
101 110 5.4213 0.4529 4.7717 0.4283 0.178 0.490 3.89
102 111 5.4314 0.4186 4.7256 0.4497 0.175 0.713 4.33
103 111 5.3614 0.3938 4.8999 0.4393 0.184 0.640 14.96
104 112 5.4552 0.4187 4.6758 0.4193 0.191 0.663 3.96
105 112 5.3636 0.4131 4.5233 0.4762 0.206 0.607 3.74
106 113 5.5147 0.4214 4.2868 0.4955 0.222 0.467 5.01
107 113 5.5234 0.3991 4.2971 0.4974 0.225 0.621 4.67
108 114 5.5965 0.4298 4.3693 0.4837 0.228 0.720 3.68
109 114 5.5263 0.4065 4.6028 0.4692 0.231 0.502 3.54
110 115 5.5366 0.4169 4.6007 0.4516 0.238 0.727 5.74
111 115 5.6663 0.3820 4.7745 0.4820 0.247 0.641 14.15
112 116 5.6779 0.4033 4.9334 0.5208 0.253 0.690 6.37
113 116 5.6388 0.3774 4.7389 0.5121 0.247 0.620 3.40
114 117 5.7708 0.3909 4.7483 0.4511 0.247 0.619 3.65
115 117 5.7447 0.3899 5.0728 0.4766 0.225 0.596 7.98
116 118 5.7705 0.3908 4.8845 0.4721 0.222 0.699 8.36
117 118 5.6494 0.3566 4.7901 0.4586 0.222 0.715 5.19
118 119 5.9081 0.3775 4.9955 0.4937 0.212 0.694 9.37
119 119 5.7395 0.4113 4.8441 0.4587 0.219 0.351 14.60
120 120 5.8317 0.3612 4.5401 0.4828 0.225 0.660 5.45
121 120 5.8110 0.3710 4.2301 0.5275 0.234 0.782 9.36
122 121 5.9602 0.3752 4.0937 0.4704 0.234 0.817 6.50
123 121 5.9413 0.3694 4.5310 0.4963 0.244 0.592 6.46
124 122 6.0098 0.3538 4.6497 0.4982 0.238 0.688 4.96
125 122 5.8694 0.3839 4.2320 0.4952 0.253 0.642 5.19
126 123 5.9820 0.3489 4.5341 0.5337 0.250 0.721 3.82
127 123 5.9691 0.3685 5.2020 0.5430 0.259 0.483 4.13
128 124 6.0170 0.3695 5.1592 0.5670 0.272 0.366 3.17
129 124 5.9977 0.3814 5.2014 0.5561 0.272 0.643 5.58
130 125 6.1384 0.3721 5.3777 0.5003 0.259 0.643 3.56
131 125 6.1172 0.3726 5.4447 0.5076 0.253 0.684 2.71
132 126 5.9770 0.3714 5.5897 0.5419 0.269 0.588 5.81
133 126 6.1491 0.3780 5.5438 0.5321 0.269 0.701 15.00
134 127 6.1155 0.3781 5.3841 0.4973 0.284 0.734 7.78
135 127 6.2348 0.3636 5.6939 0.4936 0.278 0.728 6.39
136 128 6.2581 0.3887 5.7711 0.5339 0.284 0.750 5.39
137 128 6.2384 0.3726 5.2823 0.5520 0.284 0.694 5.32
138 129 6.2722 0.3804 5.2793 0.5635 0.284 0.775 4.55
139 129 6.2328 0.3815 5.4538 0.5561 0.291 0.611 4.93
140 130 6.3390 0.3909 5.7302 0.5772 0.300 0.648 5.01
141 130 6.2771 0.3945 5.9214 0.5100 0.309 0.603 9.00
142 131 6.4045 0.3699 6.1764 0.5623 0.306 0.636 5.41
143 131 6.2964 0.3854 6.0868 0.5827 0.309 0.732 4.59
144 132 6.4666 0.3698 6.0871 0.5179 0.300 0.654 3.69
145 132 6.4407 0.3819 5.7699 0.5591 0.300 0.651 3.64
146 133 6.3412 0.3590 5.4729 0.5721 0.294 0.651 4.34
147 133 6.3853 0.3518 5.3252 0.5292 0.297 0.748 7.44
148 134 6.5138 0.3608 5.5055 0.5526 0.300 0.608 8.84
149 134 6.5788 0.3602 5.2367 0.5858 0.284 0.671 14.98
150 135 6.5835 0.3741 5.0971 0.5867 0.281 0.564 6.35
151 135 6.5801 0.3703 4.8433 0.5841 0.278 0.733 4.51
152 136 6.5776 0.3740 4.4695 0.5391 0.275 0.672 2.92
153 136 6.7708 0.3874 4.0842 0.5862 0.250 0.767 8.35
154 137 6.7224 0.3921 4.7303 0.5707 0.263 0.571 4.06
155 137 6.5901 0.3684 4.7758 0.5753 0.269 0.721 3.78
156 138 6.7566 0.3868 4.8506 0.5936 0.269 0.721 1.64
157 138 6.7187 0.3797 5.0038 0.5530 0.266 0.677 3.85
158 139 6.7637 0.3713 4.6975 0.5215 0.266 0.627 5.15
159 139 6.7103 0.3770 5.2953 0.5594 0.288 0.565 5.81
160 140 6.7906 0.3882 5.2738 0.5965 0.300 0.506 3.87
161 140 6.7420 0.3778 5.5244 0.6085 0.303 0.631 8.02
162 141 6.8219 0.3597 5.4124 0.6000 0.297 0.785 5.13
163 141 6.8273 0.3682 5.5047 0.5768 0.319 0.731 9.69
164 142 6.9339 0.3707 5.0325 0.6110 0.309 0.582 4.17
165 142 7.0056 0.3837 5.3093 0.6166 0.294 0.669 4.94
166 143 6.9211 0.3835 5.5246 0.5427 0.306 0.678 7.26
167 143 7.0107 0.3749 5.7325 0.5971 0.297 0.649 6.14
168 144 7.0245 0.3757 5.5873 0.6607 0.284 0.743 4.64
169 144 6.9935 0.3721 4.9868 0.5492 0.269 0.709 5.18
170 145 7.0488 0.3793 5.1432 0.6147 0.266 0.655 8.06
171 145 7.0348 0.3701 4.8277 0.5599 0.250 0.728 3.40
172 146 7.0351 0.3838 5.1182 0.6279 0.262 0.530 5.08
173 146 7.1368 0.3772 4.9948 0.5724 0.250 0.709 5.77
174 147 7.2028 0.3856 4.9064 0.5890 0.253 0.742 7.08
175 147 7.1436 0.3941 4.5889 0.6415 0.269 0.683 3.55
176 148 7.0220 0.4070 4.6686 0.6432 0.278 0.566 4.43
177 148 7.2220 0.4049 4.2961 0.6059 0.281 0.714 2.57
178 149 7.1785 0.4081 4.4473 0.6143 0.300 0.640 2.27
179 149 7.1300 0.3942 4.2799 0.5781 0.303 0.728 6.70
180 150 7.4216 0.3891 4.1990 0.6024 0.291 0.616 3.49
181 150 7.2663 0.4016 4.4392 0.6387 0.309 0.672 5.51
182 151 7.2411 0.3968 4.1446 0.6304 0.322 0.657 3.34
183 151 7.2942 0.4162 4.5296 0.6372 0.341 0.733 2.22
