alpha V cls h
-9.00 8.000 2 74.35
-8.00 8.000 2 76.21
-7.00 8.000 2 78.04
-6.00 8.000 2 79.83
-5.00 8.000 2 81.59
-4.00 8.000 2 83.31
-3.00 8.000 2 84.99
-2.00 8.000 2 86.64
-1.00 8.000 2 88.25
0.00 8.000 2 89.83
1.00 8.000 2 90.75
2.00 8.000 2 91.63
3.00 8.000 2 92.48
4.00 8.000 2 93.29
5.00 8.000 2 94.06
-10.00 8.500 2 73.38
-9.00 8.500 2 75.48
-8.00 8.500 2 77.55
-7.00 8.500 2 79.58
-6.00 8.500 2 81.57
-5.00 8.500 2 83.53
-4.00 8.500 2 85.45
-3.00 8.500 2 87.33
-2.00 8.500 2 89.19
-1.00 8.500 2 91.00
0.00 8.500 2 92.78
1.00 8.500 2 93.81
2.00 8.500 2 94.82
3.00 8.500 2 95.78
4.00 8.500 2 96.71
5.00 8.500 2 97.61
-10.00 9.000 2 74.38
-9.00 9.000 2 76.69
-8.00 9.000 2 78.97
-7.00 9.000 2 81.21
-6.00 9.000 2 83.42
-5.00 9.000 2 85.58
-4.00 9.000 2 87.72
-3.00 9.000 2 89.82
-2.00 9.000 2 91.88
-1.00 9.000 2 93.91
0.00 9.000 2 95.90
1.00 9.000 2 97.07
2.00 9.000 2 98.20
3.00 9.000 2 99.29
4.00 9.000 2 100.35
5.00 9.000 2 101.37
-10.00 9.500 2 75.42
-9.00 9.500 2 77.96
-8.00 9.500 2 80.47
-7.00 9.500 2 82.93
-6.00 9.500 2 85.36
-5.00 9.500 2 87.76
-4.00 9.500 2 90.12
-3.00 9.500 2 92.44
-2.00 9.500 2 94.73
-1.00 9.500 2 96.99
0.00 9.500 2 99.20
1.00 9.500 2 100.50
2.00 9.500 2 101.77
3.00 9.500 2 103.00
4.00 9.500 2 104.19
5.00 9.500 2 105.35
-10.00 10.000 2 76.53
-9.00 10.000 2 79.31
-8.00 10.000 2 82.05
-7.00 10.000 2 84.75
-6.00 10.000 2 87.42
-5.00 10.000 2 90.05
-4.00 10.000 2 92.65
-3.00 10.000 2 95.21
-2.00 10.000 2 97.74
-1.00 10.000 2 100.23
0.00 10.000 2 102.68
1.00 10.000 2 104.13
2.00 10.000 2 105.53
3.00 10.000 2 106.91
4.00 10.000 2 108.24
5.00 10.000 2 109.54
-10.00 10.500 2 77.69
-9.00 10.500 2 80.72
-8.00 10.500 2 83.71
-7.00 10.500 2 86.66
-6.00 10.500 2 89.58
-5.00 10.500 2 92.46
-4.00 10.500 2 95.31
-3.00 10.500 2 98.12
-2.00 10.500 2 100.90
-1.00 10.500 2 103.64
0.00 10.500 2 106.34
1.00 10.500 2 107.93
2.00 10.500 2 109.49
3.00 10.500 2 111.01
4.00 10.500 2 112.50
5.00 10.500 2 113.95
-10.00 11.000 2 78.91
-9.00 11.000 2 82.20
-8.00 11.000 2 85.45
-7.00 11.000 2 88.67
-6.00 11.000 2 91.85
-5.00 11.000 2 94.99
-4.00 11.000 2 98.10
-3.00 11.000 2 101.17
-2.00 11.000 2 104.21
-1.00 11.000 2 107.21
0.00 11.000 2 110.18
1.00 11.000 2 111.93
2.00 11.000 2 113.64
3.00 11.000 2 115.32
4.00 11.000 2 116.97
5.00 11.000 2 118.57
-10.00 11.500 2 80.19
-9.00 11.500 2 83.75
-8.00 11.500 2 87.27
-7.00 11.500 2 90.76
-6.00 11.500 2 94.22
-5.00 11.500 2 97.64
-4.00 11.500 2 101.02
-3.00 11.500 2 104.37
-2.00 11.500 2 107.68
-1.00 11.500 2 110.95
0.00 11.500 2 114.19
1.00 11.500 2 116.11
2.00 11.500 2 117.99
3.00 11.500 2 119.83
4.00 11.500 2 121.64
5.00 11.500 2 123.41
-10.00 12.000 2 81.52
-9.00 12.000 2 85.36
-8.00 12.000 2 89.18
-7.00 12.000 2 92.95
-6.00 12.000 2 96.69
-5.00 12.000 2 100.40
-4.00 12.000 2 104.07
-3.00 12.000 2 107.70
-2.00 12.000 2 111.30
-1.00 12.000 2 114.86
0.00 12.000 2 118.39
1.00 12.000 2 120.47
2.00 12.000 2 122.53
3.00 12.000 2 124.54
4.00 12.000 2 126.52
5.00 12.000 2 128.46
-10.00 12.500 2 82.91
-9.00 12.500 2 87.05
-8.00 12.500 2 91.16
-7.00 12.500 2 95.24
-6.00 12.500 2 99.28
-5.00 12.500 2 103.28
-4.00 12.500 2 107.25
-3.00 12.500 2 111.18
-2.00 12.500 2 115.08
-1.00 12.500 2 118.94
0.00 12.500 2 122.76
1.00 12.500 2 125.03
2.00 12.500 2 127.26
3.00 12.500 2 129.45
4.00 12.500 2 131.61
5.00 12.500 2 133.73
-10.00 13.000 2 84.35
-9.00 13.000 2 88.81
-8.00 13.000 2 93.23
-7.00 13.000 2 97.61
-6.00 13.000 2 101.96
-5.00 13.000 2 106.28
-4.00 13.000 2 110.56
-3.00 13.000 2 114.80
-2.00 13.000 2 119.01
-1.00 13.000 2 123.18
0.00 13.000 2 127.31
1.00 13.000 2 129.76
2.00 13.000 2 132.18
3.00 13.000 2 134.56
4.00 13.000 2 136.90
5.00 13.000 2 139.21
-10.00 13.500 2 85.85
-9.00 13.500 2 90.63
-8.00 13.500 2 95.38
-7.00 13.500 2 100.08
-6.00 13.500 2 104.76
-5.00 13.500 2 109.39
-4.00 13.500 2 114.00
-3.00 13.500 2 118.56
-2.00 13.500 2 123.09
-1.00 13.500 2 127.58
0.00 13.500 2 132.04
1.00 13.500 2 134.69
2.00 13.500 2 137.30
3.00 13.500 2 139.87
4.00 13.500 2 142.41
5.00 13.500 2 144.91
-10.00 14.000 2 87.41
-9.00 14.000 2 92.53
-8.00 14.000 2 97.60
-7.00 14.000 2 102.65
-6.00 14.000 2 107.66
-5.00 14.000 2 112.63
-4.00 14.000 2 117.56
-3.00 14.000 2 122.46
-2.00 14.000 2 127.33
-1.00 14.000 2 132.16
0.00 14.000 2 136.95
1.00 14.000 2 139.79
2.00 14.000 2 142.61
3.00 14.000 2 145.38
4.00 14.000 2 148.12
5.00 14.000 2 150.82
-10.00 14.500 2 89.03
-9.00 14.500 2 94.49
-8.00 14.500 2 99.91
-7.00 14.500 2 105.30
-6.00 14.500 2 110.66
-5.00 14.500 2 115.98
-4.00 14.500 2 121.26
-3.00 14.500 2 126.51
-2.00 14.500 2 131.72
-1.00 14.500 2 136.90
0.00 14.500 2 142.03
1.00 14.500 2 145.09
2.00 14.500 2 148.11
3.00 14.500 2 151.09
4.00 14.500 2 154.04
5.00 14.500 2 156.95
-10.00 15.000 2 90.70
-9.00 15.000 2 96.52
-8.00 15.000 2 102.30
-7.00 15.000 2 108.05
-6.00 15.000 2 113.77
-5.00 15.000 2 119.45
-4.00 15.000 2 125.09
-3.00 15.000 2 130.69
-2.00 15.000 2 136.27
-1.00 15.000 2 141.80
0.00 15.000 2 147.30
1.00 15.000 2 150.57
2.00 15.000 2 153.81
3.00 15.000 2 157.00
4.00 15.000 2 160.17
5.00 15.000 2 163.29
-10.00 15.500 2 92.43
-9.00 15.500 2 98.62
-8.00 15.500 2 104.78
-7.00 15.500 2 110.90
-6.00 15.500 2 116.98
-5.00 15.500 2 123.03
-4.00 15.500 2 129.05
-3.00 15.500 2 135.02
-2.00 15.500 2 140.97
-1.00 15.500 2 146.87
0.00 15.500 2 152.74
1.00 15.500 2 156.24
2.00 15.500 2 159.69
3.00 15.500 2 163.12
4.00 15.500 2 166.50
5.00 15.500 2 169.85
-10.00 16.000 2 94.21
-9.00 16.000 2 100.79
-8.00 16.000 2 107.33
-7.00 16.000 2 113.83
-6.00 16.000 2 120.30
-5.00 16.000 2 126.73
-4.00 16.000 2 133.13
-3.00 16.000 2 139.50
-2.00 16.000 2 145.82
-1.00 16.000 2 152.11
0.00 16.000 2 158.37
1.00 16.000 2 162.09
2.00 16.000 2 165.78
3.00 16.000 2 169.43
4.00 16.000 2 173.04
5.00 16.000 2 176.62
-10.00 16.500 2 96.05
-9.00 16.500 2 103.02
-8.00 16.500 2 109.96
-7.00 16.500 2 116.86
-6.00 16.500 2 123.73
-5.00 16.500 2 130.56
-4.00 16.500 2 137.35
-3.00 16.500 2 144.11
-2.00 16.500 2 150.83
-1.00 16.500 2 157.51
0.00 16.500 2 164.16
1.00 16.500 2 168.13
2.00 16.500 2 172.05
3.00 16.500 2 175.94
4.00 16.500 2 179.79
5.00 16.500 2 183.61
-10.00 17.000 2 97.95
-9.00 17.000 2 105.33
-8.00 17.000 2 112.67
-7.00 17.000 2 119.98
-6.00 17.000 2 127.26
-5.00 17.000 2 134.50
-4.00 17.000 2 141.70
-3.00 17.000 2 148.86
-2.00 17.000 2 155.99
-1.00 17.000 2 163.09
0.00 17.000 2 170.14
1.00 17.000 2 174.35
2.00 17.000 2 178.52
3.00 17.000 2 182.65
4.00 17.000 2 186.75
5.00 17.000 2 190.81
-10.00 17.500 2 99.91
-9.00 17.500 2 107.71
-8.00 17.500 2 115.47
-7.00 17.500 2 123.20
-6.00 17.500 2 130.89
-5.00 17.500 2 138.55
-4.00 17.500 2 146.17
-3.00 17.500 2 153.76
-2.00 17.500 2 161.31
-1.00 17.500 2 168.82
0.00 17.500 2 176.30
1.00 17.500 2 180.76
2.00 17.500 2 185.18
3.00 17.500 2 189.57
4.00 17.500 2 193.92
5.00 17.500 2 198.23
