alpha V cls h
-10.00 4.500 2 67.49
-9.00 4.500 2 68.32
-8.00 4.500 2 69.12
-7.00 4.500 2 69.88
-6.00 4.500 2 70.61
-5.00 4.500 2 71.30
-4.00 4.500 2 71.95
-3.00 4.500 2 72.57
-2.00 4.500 2 73.16
-1.00 4.500 2 73.70
0.00 4.500 2 74.22
1.00 4.500 2 74.49
2.00 4.500 2 74.74
3.00 4.500 2 74.94
4.00 4.500 2 75.11
5.00 4.500 2 75.25
-10.00 5.000 2 68.03
-9.00 5.000 2 68.98
-8.00 5.000 2 69.89
-7.00 5.000 2 70.77
-6.00 5.000 2 71.61
-5.00 5.000 2 72.42
-4.00 5.000 2 73.19
-3.00 5.000 2 73.92
-2.00 5.000 2 74.62
-1.00 5.000 2 75.28
0.00 5.000 2 75.91
1.00 5.000 2 76.26
2.00 5.000 2 76.57
3.00 5.000 2 76.85
4.00 5.000 2 77.09
5.00 5.000 2 77.29
-10.00 5.500 2 68.62
-9.00 5.500 2 69.70
-8.00 5.500 2 70.74
-7.00 5.500 2 71.75
-6.00 5.500 2 72.72
-5.00 5.500 2 73.65
-4.00 5.500 2 74.55
-3.00 5.500 2 75.41
-2.00 5.500 2 76.24
-1.00 5.500 2 77.03
0.00 5.500 2 77.78
1.00 5.500 2 78.21
2.00 5.500 2 78.60
3.00 5.500 2 78.95
4.00 5.500 2 79.27
5.00 5.500 2 79.55
-10.00 6.000 2 69.28
-9.00 6.000 2 70.49
-8.00 6.000 2 71.67
-7.00 6.000 2 72.82
-6.00 6.000 2 73.93
-5.00 6.000 2 75.00
-4.00 6.000 2 76.04
-3.00 6.000 2 77.05
-2.00 6.000 2 78.01
-1.00 6.000 2 78.94
0.00 6.000 2 79.84
1.00 6.000 2 80.35
2.00 6.000 2 80.82
3.00 6.000 2 81.25
4.00 6.000 2 81.66
5.00 6.000 2 82.02
-10.00 6.500 2 69.98
-9.00 6.500 2 71.35
-8.00 6.500 2 72.69
-7.00 6.500 2 73.98
-6.00 6.500 2 75.25
-5.00 6.500 2 76.47
-4.00 6.500 2 77.66
-3.00 6.500 2 78.82
-2.00 6.500 2 79.94
-1.00 6.500 2 81.02
0.00 6.500 2 82.07
1.00 6.500 2 82.67
2.00 6.500 2 83.23
3.00 6.500 2 83.76
4.00 6.500 2 84.25
5.00 6.500 2 84.71
-10.00 7.000 2 70.75
-9.00 7.000 2 72.28
-8.00 7.000 2 73.78
-7.00 7.000 2 75.24
-6.00 7.000 2 76.67
-5.00 7.000 2 78.06
-4.00 7.000 2 79.42
-3.00 7.000 2 80.73
-2.00 7.000 2 82.02
-1.00 7.000 2 83.27
0.00 7.000 2 84.48
1.00 7.000 2 85.18
2.00 7.000 2 85.84
3.00 7.000 2 86.47
4.00 7.000 2 87.06
5.00 7.000 2 87.61
-10.00 7.500 2 71.57
-9.00 7.500 2 73.28
-8.00 7.500 2 74.96
-7.00 7.500 2 76.59
-6.00 7.500 2 78.20
-5.00 7.500 2 79.77
-4.00 7.500 2 81.30
-3.00 7.500 2 82.79
-2.00 7.500 2 84.25
-1.00 7.500 2 85.68
0.00 7.500 2 87.07
1.00 7.500 2 87.87
2.00 7.500 2 88.64
3.00 7.500 2 89.37
4.00 7.500 2 90.07
5.00 7.500 2 90.73
-10.00 8.000 2 72.45
