alpha V cls h
-6.00 11.000 2 13.61
-5.00 11.000 2 16.62
-4.00 11.000 2 19.62
-3.00 11.000 2 22.61
-2.00 11.000 2 25.59
-1.00 11.000 2 28.56
0.00 11.000 2 31.51
1.00 11.000 2 33.27
2.00 11.000 2 35.02
3.00 11.000 2 36.76
4.00 11.000 2 38.49
5.00 11.000 2 40.20
-10.00 11.500 1 2.71
-9.00 11.500 2 6.05
-8.00 11.500 2 9.37
-7.00 11.500 2 12.68
-6.00 11.500 2 15.98
-5.00 11.500 2 19.27
-4.00 11.500 2 22.55
-3.00 11.500 2 25.81
-2.00 11.500 2 29.06
-1.00 11.500 2 32.30
0.00 11.500 2 35.53
1.00 11.500 2 37.45
2.00 11.500 2 39.37
3.00 11.500 2 41.27
4.00 11.500 2 43.16
5.00 11.500 2 45.04
-10.00 12.000 1 4.04
-9.00 12.000 2 7.67
-8.00 12.000 2 11.28
-7.00 12.000 2 14.87
-6.00 12.000 2 18.46
-5.00 12.000 2 22.03
-4.00 12.000 2 25.59
-3.00 12.000 2 29.14
-2.00 12.000 2 32.68
-1.00 12.000 2 36.21
0.00 12.000 2 39.72
1.00 12.000 2 41.82
2.00 12.000 2 43.91
3.00 12.000 2 45.98
4.00 12.000 2 48.04
5.00 12.000 2 50.09
-10.00 12.500 1 5.43
-9.00 12.500 2 9.35
-8.00 12.500 2 13.26
-7.00 12.500 2 17.16
-6.00 12.500 2 21.04
-5.00 12.500 2 24.91
-4.00 12.500 2 28.77
-3.00 12.500 2 32.62
-2.00 12.500 2 36.46
-1.00 12.500 2 40.28
0.00 12.500 2 44.09
1.00 12.500 2 46.37
2.00 12.500 2 48.64
3.00 12.500 2 50.89
4.00 12.500 2 53.13
5.00 12.500 2 55.36
-10.00 13.000 1 6.88
-9.00 13.000 2 11.11
-8.00 13.000 2 15.33
-7.00 13.000 2 19.53
-6.00 13.000 2 23.73
-5.00 13.000 2 27.91
-4.00 13.000 2 32.08
-3.00 13.000 2 36.24
-2.00 13.000 2 40.39
-1.00 13.000 2 44.52
0.00 13.000 2 48.64
1.00 13.000 2 51.11
2.00 13.000 2 53.56
3.00 13.000 2 56.00
4.00 13.000 2 58.43
5.00 13.000 2 60.84
-10.00 13.500 1 8.38
-9.00 13.500 2 12.93
-8.00 13.500 2 17.47
-7.00 13.500 2 22.00
-6.00 13.500 2 26.52
-5.00 13.500 2 31.03
-4.00 13.500 2 35.52
-3.00 13.500 2 40.00
-2.00 13.500 2 44.47
-1.00 13.500 2 48.93
0.00 13.500 2 53.37
1.00 13.500 2 56.03
2.00 13.500 2 58.68
3.00 13.500 2 61.31
4.00 13.500 2 63.93
5.00 13.500 2 66.54
-10.00 14.000 1 9.94
-9.00 14.000 2 14.83
-8.00 14.000 2 19.70
-7.00 14.000 2 24.57
-6.00 14.000 2 29.42
-5.00 14.000 2 34.26
-4.00 14.000 2 39.09
-3.00 14.000 2 43.90
-2.00 14.000 2 48.71
-1.00 14.000 2 53.50
0.00 14.000 2 58.28
1.00 14.000 2 61.14
2.00 14.000 2 63.99
3.00 14.000 2 66.82
4.00 14.000 2 69.64
5.00 14.000 2 72.46
-10.00 14.500 1 11.55
-9.00 14.500 2 16.79
-8.00 14.500 2 22.01
-7.00 14.500 2 27.22
-6.00 14.500 2 32.42
-5.00 14.500 2 37.61
-4.00 14.500 2 42.79
-3.00 14.500 2 47.95
-2.00 14.500 2 53.10
-1.00 14.500 2 58.24
0.00 14.500 2 63.37
1.00 14.500 2 66.44
2.00 14.500 2 69.49
3.00 14.500 2 72.53
4.00 14.500 2 75.56
5.00 14.500 2 78.58
-10.00 15.000 1 13.23
-9.00 15.000 2 18.82
-8.00 15.000 2 24.40
-7.00 15.000 2 29.97
-6.00 15.000 2 35.53
-5.00 15.000 2 41.08
-4.00 15.000 2 46.61
-3.00 15.000 2 52.14
-2.00 15.000 2 57.65
-1.00 15.000 2 63.15
0.00 15.000 2 68.63
1.00 15.000 2 71.92
2.00 15.000 2 75.19
3.00 15.000 2 78.44
4.00 15.000 2 81.69
5.00 15.000 2 84.93
-10.00 15.500 1 14.95
-9.00 15.500 2 20.92
-8.00 15.500 2 26.87
-7.00 15.500 2 32.82
-6.00 15.500 2 38.75
-5.00 15.500 2 44.66
-4.00 15.500 2 50.57
-3.00 15.500 2 56.47
-2.00 15.500 2 62.35
-1.00 15.500 2 68.22
0.00 15.500 2 74.08
1.00 15.500 2 77.58
2.00 15.500 2 81.08
3.00 15.500 2 84.56
4.00 15.500 2 88.03
5.00 15.500 2 91.48
-10.00 16.000 1 16.74
-9.00 16.000 2 23.09
-8.00 16.000 2 29.43
-7.00 16.000 2 35.75
-6.00 16.000 2 42.07
-5.00 16.000 2 48.37
-4.00 16.000 2 54.66
-3.00 16.000 2 60.94
-2.00 16.000 2 67.20
-1.00 16.000 2 73.46
0.00 16.000 2 79.70
1.00 16.000 2 83.43
2.00 16.000 2 87.16
3.00 16.000 2 90.87
4.00 16.000 2 94.57
5.00 16.000 2 98.26
-10.00 16.500 1 18.58
-9.00 16.500 2 25.33
-8.00 16.500 2 32.06
-7.00 16.500 2 38.78
-6.00 16.500 2 45.49
-5.00 16.500 2 52.19
-4.00 16.500 2 58.88
-3.00 16.500 2 65.55
-2.00 16.500 2 72.21
-1.00 16.500 2 78.86
0.00 16.500 2 85.50
1.00 16.500 2 89.47
2.00 16.500 2 93.43
3.00 16.500 2 97.38
4.00 16.500 2 101.32
5.00 16.500 2 105.25
-10.00 17.000 1 20.48
-9.00 17.000 2 27.63
-8.00 17.000 2 34.77
-7.00 17.000 2 41.90
-6.00 17.000 2 49.02
-5.00 17.000 2 56.13
-4.00 17.000 2 63.22
-3.00 17.000 2 70.30
-2.00 17.000 2 77.37
-1.00 17.000 2 84.43
0.00 17.000 2 91.48
1.00 17.000 2 95.69
2.00 17.000 2 99.90
3.00 17.000 2 104.10
4.00 17.000 2 108.28
5.00 17.000 2 112.45
-10.00 17.500 1 22.43
-9.00 17.500 2 30.01
-8.00 17.500 2 37.57
-7.00 17.500 2 45.12
-6.00 17.500 2 52.66
-5.00 17.500 2 60.18
-4.00 17.500 2 67.70
-3.00 17.500 2 75.20
-2.00 17.500 2 82.69
-1.00 17.500 2 90.17
0.00 17.500 2 97.64
1.00 17.500 2 102.11
2.00 17.500 2 106.56
3.00 17.500 2 111.01
4.00 17.500 2 115.44
5.00 17.500 2 119.87
