it n time energy barrier aux reached lf_min al_max
88 104 5.0828 0.5835 4.9749 0.4613 0.191 0.559 14.96
89 104 5.1394 0.6654 5.0413 0.4503 0.184 0.634 5.95
90 105 5.1339 0.5948 4.9229 0.3887 0.197 0.626 5.49
91 105 5.1521 0.6353 5.0615 0.4418 0.194 0.699 4.63
92 106 5.1965 0.6453 5.0658 0.4409 0.188 0.566 11.24
93 106 5.1693 0.6706 4.8917 0.4073 0.194 0.438 3.60
94 107 5.3035 0.5815 5.0181 0.3935 0.178 0.470 3.22
95 107 5.2411 0.6622 5.3259 0.4223 0.181 0.588 8.19
96 108 5.3045 0.5933 5.5961 0.4592 0.163 0.324 10.29
97 108 5.2486 0.6523 5.2583 0.4052 0.163 0.615 4.99
98 109 5.3351 0.6694 5.0789 0.4726 0.153 0.498 5.87
99 109 5.2518 0.6709 5.6423 0.4538 0.156 0.541 14.11
100 110 5.4297 0.6046 6.0276 0.4313 0.150 0.613 6.50
101 110 5.4526 0.6787 6.3750 0.4347 0.150 0.465 9.53
102 111 5.4244 0.6193 6.5339 0.4527 0.144 0.602 4.21
103 111 5.4180 0.5716 6.6852 0.4453 0.141 0.654 11.02
104 112 5.4572 0.6509 6.4649 0.4199 0.150 0.633 4.01
105 112 5.5024 0.6385 6.2453 0.4782 0.153 0.596 9.12
106 113 5.5775 0.6648 6.1969 0.4982 0.166 0.460 6.21
107 113 5.5332 0.6514 6.2888 0.5000 0.169 0.582 6.95
108 114 5.6477 0.7131 6.4438 0.4788 0.163 0.659 14.90
109 114 5.5127 0.6412 6.5156 0.4733 0.166 0.499 4.23
110 115 5.5760 0.7411 6.4580 0.4503 0.169 0.639 8.81
111 115 5.6339 0.6309 6.4334 0.4798 0.188 0.550 14.93
112 116 5.6181 0.7416 6.3046 0.5230 0.203 0.516 4.02
113 116 5.6762 0.6495 6.2213 0.5160 0.206 0.371 3.60
114 117 5.7430 0.7102 6.2250 0.4551 0.203 0.580 2.59
115 117 5.7727 0.6921 6.7286 0.4767 0.197 0.593 7.95
116 118 5.6839 0.7632 6.5305 0.4721 0.200 0.680 14.06
117 118 5.7933 0.6538 6.4459 0.4622 0.194 0.682 6.63
118 119 5.8382 0.6705 6.8916 0.4949 0.209 0.618 14.54
119 119 5.8480 0.8149 6.9099 0.4602 0.197 0.356 9.43
120 120 5.8390 0.6296 6.5824 0.4879 0.209 0.626 4.48
121 120 5.8995 0.7076 6.4233 0.5340 0.209 0.633 4.30
122 121 5.9908 0.7040 6.4088 0.4762 0.197 0.694 7.19
123 121 5.9499 0.6320 6.8787 0.5069 0.194 0.567 12.26
124 122 5.9874 0.6518 6.9748 0.5040 0.197 0.482 4.00
125 122 5.9604 0.7215 6.3716 0.4976 0.200 0.560 4.90
126 123 5.9975 0.6208 6.4835 0.5381 0.203 0.656 5.17
127 123 5.9651 0.6580 7.1433 0.5486 0.206 0.373 10.07
128 124 6.0023 0.6653 6.7897 0.5680 0.216 0.343 4.71
129 124 6.0333 0.7155 6.6917 0.5578 0.231 0.380 7.92
130 125 6.1809 0.6986 7.0518 0.4998 0.216 0.538 3.97
131 125 6.0623 0.6563 7.1263 0.5066 0.203 0.613 12.62
132 126 6.0773 0.6740 7.4064 0.5488 0.225 0.570 8.22
133 126 6.2350 0.6735 7.2222 0.5456 0.222 0.678 14.79
134 127 6.2697 0.8104 7.1781 0.4966 0.222 0.663 9.00
135 127 6.2118 0.6731 7.6733 0.5023 0.241 0.593 11.99
136 128 6.3120 0.7917 8.2771 0.5361 0.231 0.551 10.79
137 128 6.2561 0.7133 7.9084 0.5498 0.237 0.598 5.34
138 129 6.3119 0.6841 7.7409 0.5711 0.234 0.689 5.84
139 129 6.2787 0.7226 7.8695 0.5582 0.241 0.591 15.00
140 130 6.4515 0.7452 8.2402 0.5823 0.234 0.536 13.27
141 130 6.3741 0.7808 8.5433 0.5039 0.241 0.535 14.41
142 131 6.4376 0.7263 8.6705 0.5633 0.234 0.503 14.88
143 131 6.4809 0.7936 8.8544 0.5816 0.231 0.568 10.63
144 132 6.5168 0.7434 8.6918 0.5228 0.231 0.598 4.42
