t V gam alpha th thsp Tcc Trc lf alt
9.10 10.513 1.043 -5.923 -4.880 -4.407 1.35 52.82 1.0820 54.21
9.12 10.519 1.017 -5.852 -4.835 -4.407 1.35 52.82 1.0842 54.22
9.14 10.522 1.058 -5.791 -4.733 -4.347 1.30 52.76 1.0859 54.23
9.16 10.511 1.017 -5.740 -4.722 -4.347 1.30 52.76 1.0862 54.24
9.18 10.505 1.054 -5.797 -4.743 -4.290 1.24 52.71 1.0839 54.24
9.20 10.503 1.066 -5.807 -4.741 -4.290 1.24 52.71 1.0831 54.25
9.22 10.501 1.155 -5.966 -4.811 -4.290 1.24 52.71 1.0782 54.26
9.24 10.501 1.229 -6.012 -4.784 -4.232 1.19 52.65 1.0765 54.27
9.26 10.508 1.108 -5.794 -4.686 -4.232 1.19 52.65 1.0831 54.28
9.28 10.511 1.080 -5.801 -4.720 -4.232 1.19 52.65 1.0830 54.28
9.30 10.513 1.002 -5.643 -4.641 -4.179 1.14 52.61 1.0874 54.29
9.32 10.514 0.952 -5.603 -4.651 -4.179 1.14 52.61 1.0884 54.29
9.34 10.515 0.934 -5.572 -4.638 -4.129 1.09 52.58 1.0891 54.30
9.36 10.354 1.022 -5.614 -4.593 -4.129 1.09 52.58 1.0749 54.31
9.38 10.274 1.067 -5.631 -4.565 -4.129 1.09 52.58 1.0680 54.31
9.40 10.234 1.119 -5.671 -4.553 -4.082 1.04 52.56 1.0636 54.32
9.42 10.214 1.188 -5.757 -4.569 -4.082 1.04 52.56 1.0595 54.33
9.44 10.204 1.250 -5.841 -4.592 -4.082 1.04 52.56 1.0563 54.34
9.46 10.354 1.355 -5.874 -4.519 -4.032 0.99 52.53 1.0669 54.34
9.48 10.430 1.399 -5.852 -4.453 -4.032 0.99 52.53 1.0733 54.35
9.50 10.467 1.393 -5.818 -4.425 -4.032 0.99 52.53 1.0771 54.36
9.52 10.486 1.323 -5.753 -4.430 -3.985 0.95 52.51 1.0803 54.37
9.54 10.496 1.254 -5.683 -4.429 -3.985 0.95 52.51 1.0829 54.38
9.56 10.450 1.253 -5.674 -4.421 -3.985 0.95 52.51 1.0794 54.39
9.58 10.427 1.214 -5.646 -4.432 -3.941 0.90 52.49 1.0783 54.40
9.60 10.416 1.296 -5.663 -4.367 -3.941 0.90 52.49 1.0769 54.41
9.62 10.410 1.371 -5.707 -4.336 -3.941 0.90 52.49 1.0751 54.42
9.64 9.907 1.403 -5.729 -4.327 -3.900 0.86 52.49 1.0357 54.43
9.66 9.823 1.488 -5.779 -4.291 -3.900 0.86 52.49 1.0282 54.44
9.68 9.781 1.452 -5.717 -4.265 -3.900 0.86 52.49 1.0265 54.45
9.70 9.760 1.438 -5.643 -4.206 -3.864 0.82 52.50 1.0268 54.46
9.72 9.749 1.353 -5.507 -4.154 -3.864 0.82 52.50 1.0294 54.48
9.75 10.092 1.444 -5.630 -4.185 -3.828 0.78 52.51 1.0522 54.49
9.76 10.264 1.417 -5.589 -4.173 -3.828 0.78 52.51 1.0666 54.50
9.78 10.349 1.423 -5.608 -4.186 -3.828 0.78 52.51 1.0728 54.51
9.80 10.392 1.404 -5.643 -4.240 -3.792 0.74 52.52 1.0752 54.52
9.82 10.248 1.351 -5.583 -4.232 -3.792 0.74 52.52 1.0655 54.53
9.84 10.176 1.355 -5.640 -4.285 -3.792 0.74 52.52 1.0584 54.54
9.86 10.140 1.373 -5.680 -4.307 -3.759 0.71 52.54 1.0546 54.55
9.88 10.122 1.419 -5.721 -4.302 -3.759 0.71 52.54 1.0522 54.56
9.90 10.113 1.360 -5.676 -4.316 -3.759 0.71 52.54 1.0527 54.56
9.92 10.108 1.294 -5.618 -4.324 -3.729 0.68 52.57 1.0539 54.57
9.94 10.118 1.243 -5.539 -4.296 -3.729 0.68 52.57 1.0569 54.58
9.97 10.123 1.160 -5.445 -4.285 -3.703 0.64 52.61 1.0598 54.60
9.98 10.126 1.174 -5.510 -4.336 -3.703 0.64 52.61 1.0584 54.60
10.00 10.127 1.135 -5.466 -4.331 -3.703 0.64 52.61 1.0598 54.61
10.02 10.128 1.187 -5.569 -4.382 -3.678 0.61 52.64 1.0572 54.62
10.04 10.139 1.129 -5.437 -4.309 -3.678 0.61 52.64 1.0618 54.62
10.06 10.145 1.098 -5.386 -4.288 -3.678 0.61 52.64 1.0637 54.63
10.08 10.148 1.030 -5.266 -4.236 -3.659 0.59 52.70 1.0673 54.64
10.10 10.149 0.923 -5.175 -4.252 -3.659 0.59 52.70 1.0700 54.64
10.13 10.171 1.076 -5.290 -4.214 -3.641 0.56 52.76 1.0688 54.65
10.14 10.181 1.039 -5.260 -4.221 -3.641 0.56 52.76 1.0707 54.66
10.16 10.187 1.053 -5.290 -4.237 -3.641 0.56 52.76 1.0706 54.66
10.18 10.189 1.006 -5.242 -4.236 -3.624 0.53 52.83 1.0723 54.67
10.20 10.191 0.965 -5.183 -4.218 -3.624 0.53 52.83 1.0742 54.68
10.22 10.191 1.002 -5.255 -4.253 -3.624 0.53 52.83 1.0726 54.69
10.24 10.082 0.924 -5.178 -4.254 -3.611 0.51 52.90 1.0662 54.69
10.26 10.027 0.898 -5.166 -4.267 -3.611 0.51 52.90 1.0625 54.70
10.28 10.000 0.885 -5.160 -4.275 -3.611 0.51 52.90 1.0608 54.71
10.30 9.987 0.848 -5.071 -4.223 -3.601 0.49 52.98 1.0623 54.72
10.32 9.980 0.881 -5.110 -4.229 -3.601 0.49 52.98 1.0611 54.73
10.34 10.008 0.868 -5.100 -4.232 -3.601 0.49 52.98 1.0638 54.74
10.36 10.021 0.954 -5.153 -4.199 -3.591 0.47 53.06 1.0639 54.75
10.38 10.028 0.943 -5.149 -4.206 -3.591 0.47 53.06 1.0649 54.76
10.40 10.032 0.956 -5.099 -4.143 -3.591 0.47 53.06 1.0668 54.77
10.42 10.034 0.948 -5.089 -4.141 -3.584 0.45 53.15 1.0675 54.78
10.44 9.990 0.840 -4.974 -4.134 -3.584 0.45 53.15 1.0674 54.79
10.46 9.969 0.782 -4.881 -4.099 -3.584 0.45 53.15 1.0684 54.79
10.48 9.958 0.832 -4.936 -4.104 -3.581 0.43 53.25 1.0665 54.80
10.50 9.952 0.840 -4.916 -4.076 -3.581 0.43 53.25 1.0670 54.81
10.52 9.950 0.791 -4.796 -4.006 -3.581 0.43 53.25 1.0702 54.82
10.54 9.935 0.741 -4.726 -3.985 -3.583 0.41 53.37 1.0712 54.83
10.56 9.928 0.736 -4.671 -3.936 -3.583 0.41 53.37 1.0725 54.84
10.58 9.924 0.797 -4.691 -3.894 -3.583 0.41 53.37 1.0721 54.85
10.60 9.922 0.745 -4.626 -3.881 -3.587 0.40 53.49 1.0740 54.85
10.62 9.921 0.659 -4.546 -3.887 -3.587 0.40 53.49 1.0764 54.86
10.64 9.882 0.607 -4.502 -3.896 -3.587 0.40 53.49 1.0748 54.87
10.66 9.863 0.627 -4.533 -3.906 -3.593 0.38 53.62 1.0729 54.88
10.68 9.853 0.682 -4.578 -3.897 -3.593 0.38 53.62 1.0716 54.89
10.70 9.848 0.704 -4.561 -3.857 -3.593 0.38 53.62 1.0721 54.89
10.72 9.846 0.734 -4.638 -3.904 -3.599 0.37 53.74 1.0704 54.90
10.74 9.822 0.736 -4.661 -3.925 -3.599 0.37 53.74 1.0685 54.91
10.76 9.810 0.828 -4.716 -3.889 -3.605 0.36 53.87 1.0667 54.92
10.78 9.805 0.842 -4.767 -3.924 -3.605 0.36 53.87 1.0656 54.92
10.80 9.802 0.803 -4.807 -4.004 -3.605 0.36 53.87 1.0649 54.93
10.82 9.800 0.780 -4.792 -4.012 -3.610 0.35 53.99 1.0656 54.94
10.84 9.788 0.751 -4.819 -4.068 -3.610 0.35 53.99 1.0645 54.95
10.86 9.781 0.702 -4.763 -4.061 -3.610 0.35 53.99 1.0659 54.95
10.88 9.778 0.635 -4.716 -4.080 -3.617 0.34 54.12 1.0673 54.96
10.90 9.776 0.532 -4.644 -4.112 -3.617 0.34 54.12 1.0696 54.97
10.92 9.776 0.532 -4.723 -4.191 -3.617 0.34 54.12 1.0681 54.97
10.94 9.841 0.546 -4.839 -4.292 -3.623 0.33 54.25 1.0709 54.98
10.96 9.874 0.484 -4.768 -4.284 -3.623 0.33 54.25 1.0759 54.99
10.98 9.890 0.557 -4.827 -4.271 -3.623 0.33 54.25 1.0762 54.99
11.00 9.899 0.519 -4.730 -4.211 -3.630 0.32 54.37 1.0799 55.00
11.02 9.903 0.521 -4.739 -4.218 -3.630 0.32 54.37 1.0806 55.00
11.04 9.847 0.378 -4.604 -4.225 -3.630 0.32 54.37 1.0800 55.01
11.06 9.819 0.350 -4.577 -4.227 -3.639 0.31 54.50 1.0790 55.01
11.08 9.805 0.444 -4.674 -4.230 -3.639 0.31 54.50 1.0761 55.02
11.10 9.798 0.454 -4.679 -4.225 -3.639 0.31 54.50 1.0760 55.02
11.12 9.795 0.321 -4.545 -4.225 -3.650 0.30 54.64 1.0796 55.03
11.14 9.812 0.362 -4.591 -4.229 -3.650 0.30 54.64 1.0804 55.03
11.17 9.821 0.435 -4.554 -4.119 -3.660 0.29 54.77 1.0825 55.04
11.18 9.825 0.395 -4.505 -4.110 -3.660 0.29 54.77 1.0848 55.04
11.20 9.827 0.382 -4.443 -4.061 -3.660 0.29 54.77 1.0871 55.05
11.22 9.828 0.316 -4.379 -4.063 -3.672 0.28 54.92 1.0893 55.05
11.24 9.569 0.314 -4.367 -4.053 -3.672 0.28 54.92 1.0696 55.06
11.26 9.440 0.334 -4.386 -4.052 -3.672 0.28 54.92 1.0596 55.06
11.28 9.375 0.351 -4.379 -4.029 -3.687 0.28 55.07 1.0554 55.07
11.30 9.342 0.269 -4.208 -3.939 -3.687 0.28 55.07 1.0575 55.07
11.32 9.326 0.233 -4.222 -3.989 -3.687 0.28 55.07 1.0565 55.08
11.34 9.376 0.377 -4.395 -4.018 -3.704 0.27 55.22 1.0571 55.08
11.36 9.401 0.425 -4.425 -4.000 -3.704 0.27 55.22 1.0590 55.09
11.39 9.414 0.324 -4.387 -4.062 -3.720 0.27 55.37 1.0615 55.09
11.40 9.420 0.346 -4.437 -4.091 -3.720 0.27 55.37 1.0616 55.10
11.42 9.423 0.418 -4.449 -4.031 -3.720 0.27 55.37 1.0622 55.11
11.44 9.442 0.519 -4.532 -4.014 -3.731 0.26 55.51 1.0623 55.11
11.46 9.451 0.437 -4.468 -4.031 -3.731 0.26 55.51 1.0653 55.12
11.48 9.456 0.370 -4.402 -4.032 -3.731 0.26 55.51 1.0678 55.12
11.50 9.459 0.481 -4.489 -4.008 -3.744 0.25 55.65 1.0666 55.13
11.52 9.460 0.595 -4.557 -3.962 -3.744 0.25 55.65 1.0659 55.14
11.54 9.291 0.529 -4.459 -3.930 -3.756 0.25 55.79 1.0558 55.15
11.56 9.207 0.481 -4.423 -3.942 -3.756 0.25 55.79 1.0510 55.15
11.58 9.164 0.476 -4.450 -3.974 -3.756 0.25 55.79 1.0479 55.16
11.60 9.143 0.411 -4.381 -3.971 -3.771 0.24 55.94 1.0483 55.16
11.62 9.133 0.315 -4.257 -3.943 -3.771 0.24 55.94 1.0510 55.17
11.64 9.302 0.211 -4.160 -3.949 -3.771 0.24 55.94 1.0668 55.17
11.66 9.387 0.230 -4.191 -3.961 -3.785 0.24 56.09 1.0732 55.18
11.68 9.430 0.316 -4.295 -3.979 -3.785 0.24 56.09 1.0749 55.18
11.70 9.451 0.450 -4.497 -4.047 -3.785 0.24 56.09 1.0725 55.19
11.72 9.461 0.539 -4.654 -4.115 -3.793 0.23 56.21 1.0704 55.20
11.74 9.322 0.630 -4.754 -4.124 -3.793 0.23 56.21 1.0582 55.20
11.76 9.252 0.611 -4.765 -4.154 -3.793 0.23 56.21 1.0534 55.21
11.78 9.218 0.622 -4.776 -4.154 -3.798 0.22 56.33 1.0511 55.21
11.80 9.200 0.680 -4.827 -4.148 -3.798 0.22 56.33 1.0494 55.22
11.82 9.191 0.729 -4.916 -4.186 -3.801 0.21 56.44 1.0473 55.23
11.84 9.325 0.722 -4.910 -4.189 -3.801 0.21 56.44 1.0580 55.23
11.86 9.392 0.775 -4.962 -4.187 -3.801 0.21 56.44 1.0623 55.24
11.88 9.425 0.748 -5.001 -4.253 -3.798 0.20 56.53 1.0645 55.25
11.90 9.442 0.740 -5.040 -4.300 -3.798 0.20 56.53 1.0654 55.25
11.92 9.574 0.744 -4.991 -4.246 -3.798 0.20 56.53 1.0770 55.26
11.94 9.640 0.719 -4.992 -4.273 -3.795 0.19 56.62 1.0825 55.27
11.96 9.673 0.773 -5.088 -4.314 -3.795 0.19 56.62 1.0833 55.27
11.98 9.673 0.647 -4.991 -4.344 -3.790 0.17 56.71 1.0861 55.28
12.00 9.698 0.615 -4.990 -4.375 -3.790 0.17 56.71 1.0885 55.29
12.02 9.702 0.481 -4.909 -4.428 -3.790 0.17 56.71 1.0913 55.29
12.04 9.487 0.491 -4.859 -4.368 -3.787 0.16 56.80 1.0764 55.30
12.06 9.380 0.549 -4.853 -4.303 -3.787 0.16 56.80 1.0690 55.31
12.08 9.326 0.587 -4.819 -4.232 -3.787 0.16 56.80 1.0662 55.32
12.10 9.300 0.614 -4.717 -4.103 -3.786 0.15 56.90 1.0670 55.32
12.12 9.286 0.611 -4.703 -4.092 -3.786 0.15 56.90 1.0668 55.33
12.14 9.251 0.603 -4.664 -4.061 -3.786 0.13 57.00 1.0655 55.34
12.16 9.233 0.748 -4.806 -4.059 -3.786 0.13 57.00 1.0616 55.35
12.18 9.225 0.849 -4.820 -3.972 -3.786 0.13 57.00 1.0611 55.36
12.20 9.220 0.861 -4.823 -3.962 -3.782 0.12 57.10 1.0612 55.37
12.22 9.218 0.952 -4.960 -4.008 -3.782 0.12 57.10 1.0585 55.37
12.24 9.196 0.949 -4.977 -4.028 -3.782 0.12 57.10 1.0570 55.38
12.26 9.185 0.834 -4.893 -4.059 -3.777 0.10 57.18 1.0585 55.39
12.28 9.180 0.883 -4.914 -4.032 -3.777 0.10 57.18 1.0581 55.40
12.30 9.177 0.944 -4.937 -3.993 -3.777 0.10 57.18 1.0578 55.41
12.32 9.175 1.025 -4.990 -3.965 -3.769 0.09 57.26 1.0570 55.42
12.34 9.139 1.056 -5.072 -4.016 -3.769 0.09 57.26 1.0530 55.42
12.36 9.120 1.050 -5.012 -3.962 -3.769 0.09 57.26 1.0533 55.43
12.38 9.111 1.071 -5.002 -3.931 -3.761 0.07 57.33 1.0533 55.44
12.40 9.107 0.971 -4.990 -4.019 -3.761 0.07 57.33 1.0536 55.45
12.42 9.104 0.964 -5.032 -4.068 -3.761 0.07 57.33 1.0528 55.46
12.44 9.019 1.023 -5.126 -4.102 -3.753 0.05 57.41 1.0451 55.47
12.46 8.976 1.149 -5.248 -4.100 -3.753 0.05 57.41 1.0399 55.47
12.48 8.955 1.214 -5.328 -4.114 -3.753 0.05 57.41 1.0371 55.48
12.50 8.944 1.303 -5.435 -4.132 -3.740 0.04 57.47 1.0345 55.49
12.52 8.939 1.236 -5.365 -4.129 -3.740 0.04 57.47 1.0359 55.50
12.54 8.999 1.204 -5.318 -4.114 -3.740 0.04 57.47 1.0413 55.51
12.56 9.028 1.223 -5.309 -4.086 -3.727 0.02 57.53 1.0440 55.52
12.58 9.043 1.214 -5.300 -4.086 -3.727 0.02 57.53 1.0455 55.52
12.60 9.051 1.223 -5.328 -4.105 -3.714 0.00 57.59 1.0457 55.53
12.62 9.055 1.272 -5.417 -4.145 -3.714 0.00 57.59 1.0444 55.54
12.64 9.000 1.250 -5.492 -4.242 -3.714 0.00 57.59 1.0393 55.55
12.66 8.972 1.153 -5.407 -4.253 -3.700 0.00 57.65 1.0394 55.55
12.68 8.958 1.117 -5.358 -4.240 -3.700 0.00 57.65 1.0398 55.56
12.70 8.951 1.134 -5.385 -4.251 -3.700 0.00 57.65 1.0391 55.57
12.72 8.948 1.116 -5.337 -4.221 -3.686 0.00 57.70 1.0401 55.57
12.74 9.122 1.077 -5.315 -4.238 -3.686 0.00 57.70 1.0531 55.58
12.76 9.209 1.052 -5.276 -4.224 -3.686 0.00 57.70 1.0604 55.58
12.78 9.253 1.142 -5.305 -4.163 -3.670 0.00 57.76 1.0632 55.59
12.80 9.274 1.007 -5.132 -4.125 -3.670 0.00 57.76 1.0689 55.60
12.82 9.285 1.084 -5.246 -4.162 -3.670 0.00 57.76 1.0674 55.60
12.84 9.139 1.183 -5.339 -4.157 -3.653 0.00 57.80 1.0551 55.61
12.86 9.066 1.197 -5.369 -4.173 -3.653 0.00 57.80 1.0496 55.61
12.88 9.030 1.228 -5.349 -4.121 -3.637 0.00 57.86 1.0477 55.62
12.91 9.011 1.378 -5.476 -4.098 -3.637 0.00 57.86 1.0441 55.62
12.92 9.002 1.317 -5.396 -4.079 -3.637 0.00 57.86 1.0454 55.63
12.94 8.965 1.496 -5.522 -4.025 -3.620 0.00 57.90 1.0404 55.63
12.96 8.946 1.565 -5.595 -4.031 -3.620 0.00 57.90 1.0379 55.64
12.98 8.937 1.487 -5.493 -4.006 -3.620 0.00 57.90 1.0396 55.64
13.00 8.932 1.400 -5.382 -3.982 -3.602 0.00 57.95 1.0418 55.65
13.02 8.930 1.386 -5.360 -3.974 -3.602 0.00 57.95 1.0423 55.66
13.04 8.888 1.404 -5.369 -3.965 -3.602 0.00 57.95 1.0395 55.67
13.06 8.867 1.326 -5.302 -3.976 -3.586 0.00 58.00 1.0396 55.67
13.08 8.857 1.312 -5.281 -3.969 -3.586 0.00 58.00 1.0396 55.68
13.10 8.852 1.297 -5.224 -3.927 -3.586 0.00 58.00 1.0406 55.69
13.12 8.849 1.233 -5.089 -3.857 -3.572 0.00 58.05 1.0434 55.69
13.14 8.935 1.228 -5.056 -3.828 -3.572 0.00 58.05 1.0503 55.70
13.16 8.978 1.291 -5.075 -3.784 -3.572 0.00 58.05 1.0532 55.71
13.18 8.999 1.347 -5.124 -3.777 -3.557 0.00 58.11 1.0539 55.72
13.20 9.010 1.296 -5.095 -3.799 -3.557 0.00 58.11 1.0555 55.73
13.22 9.015 1.286 -5.082 -3.796 -3.557 0.00 58.11 1.0564 55.73
13.24 8.898 1.125 -4.965 -3.839 -3.544 0.00 58.17 1.0507 55.74
13.26 8.839 1.165 -5.010 -3.845 -3.544 0.00 58.17 1.0459 55.75
13.28 8.810 1.113 -4.963 -3.850 -3.532 0.00 58.23 1.0450 55.76
13.30 8.795 1.086 -4.955 -3.870 -3.532 0.00 58.23 1.0444 55.76
13.32 8.788 1.174 -5.049 -3.876 -3.532 0.00 58.23 1.0423 55.77
13.34 9.049 1.131 -5.006 -3.875 -3.517 0.00 58.28 1.0618 55.78
13.36 9.179 1.087 -5.104 -4.017 -3.517 0.00 58.28 1.0694 55.78
13.38 9.245 1.049 -5.165 -4.116 -3.517 0.00 58.28 1.0730 55.79
13.40 9.277 0.951 -5.054 -4.103 -3.500 0.00 58.33 1.0781 55.80
13.42 9.294 0.965 -5.036 -4.070 -3.500 0.00 58.33 1.0799 55.81
13.44 8.818 0.997 -5.056 -4.059 -3.500 0.00 58.33 1.0457 55.82
13.46 8.580 1.057 -5.131 -4.074 -3.485 0.00 58.38 1.0282 55.83
13.48 8.461 0.951 -5.015 -4.064 -3.485 0.00 58.38 1.0226 55.83
13.50 8.401 0.806 -4.849 -4.042 -3.485 0.00 58.38 1.0219 55.84
13.52 8.372 0.799 -4.801 -4.002 -3.478 0.00 58.46 1.0211 55.85
13.54 8.512 0.791 -4.774 -3.983 -3.478 0.00 58.46 1.0314 55.86
13.56 8.582 0.718 -4.616 -3.897 -3.472 0.00 58.54 1.0395 55.87
13.58 8.617 0.786 -4.637 -3.851 -3.472 0.00 58.54 1.0419 55.88
13.60 8.635 0.769 -4.588 -3.818 -3.472 0.00 58.54 1.0444 55.88
13.62 8.643 0.728 -4.499 -3.771 -3.467 0.00 58.62 1.0470 55.89
13.64 8.720 0.751 -4.564 -3.813 -3.467 0.00 58.62 1.0515 55.90
13.66 8.758 0.637 -4.443 -3.805 -3.467 0.00 58.62 1.0569 55.90
13.68 8.777 0.633 -4.448 -3.815 -3.461 0.00 58.71 1.0585 55.91
13.70 8.786 0.750 -4.569 -3.818 -3.461 0.00 58.71 1.0571 55.91
13.72 8.791 0.774 -4.563 -3.789 -3.461 0.00 58.71 1.0579 55.92
13.74 8.801 0.919 -4.740 -3.820 -3.451 0.00 58.77 1.0555 55.93
13.76 8.807 0.881 -4.653 -3.772 -3.451 0.00 58.77 1.0579 55.93
13.78 8.809 0.784 -4.508 -3.724 -3.451 0.00 58.77 1.0613 55.94
13.80 8.811 0.678 -4.415 -3.737 -3.444 0.00 58.85 1.0636 55.95
13.82 8.811 0.606 -4.347 -3.741 -3.444 0.00 58.85 1.0654 55.95
13.84 8.714 0.601 -4.407 -3.805 -3.438 0.00 58.93 1.0575 55.96
13.86 8.665 0.620 -4.439 -3.818 -3.438 0.00 58.93 1.0538 55.96
13.88 8.641 0.701 -4.473 -3.772 -3.438 0.00 58.93 1.0517 55.97
13.90 8.629 0.796 -4.577 -3.781 -3.431 0.00 59.01 1.0492 55.98
13.92 8.623 0.684 -4.397 -3.713 -3.431 0.00 59.01 1.0527 55.98
13.94 8.625 0.846 -4.541 -3.695 -3.431 0.00 59.01 1.0503 55.99
13.96 8.625 0.881 -4.568 -3.688 -3.423 0.00 59.08 1.0502 55.99
13.98 8.626 0.896 -4.567 -3.671 -3.423 0.00 59.08 1.0506 56.00
14.00 8.626 0.817 -4.500 -3.683 -3.416 0.00 59.15 1.0522 56.00
14.02 8.626 0.794 -4.480 -3.686 -3.416 0.00 59.15 1.0530 56.01
14.04 8.697 0.822 -4.462 -3.640 -3.416 0.00 59.15 1.0588 56.02
14.06 8.733 0.844 -4.455 -3.611 -3.408 0.00 59.22 1.0617 56.02
14.08 8.750 0.810 -4.439 -3.629 -3.408 0.00 59.22 1.0637 56.03
14.10 8.759 0.712 -4.378 -3.666 -3.408 0.00 59.22 1.0659 56.04
14.12 8.764 0.684 -4.386 -3.702 -3.400 0.00 59.29 1.0663 56.04
14.14 8.759 0.621 -4.323 -3.702 -3.400 0.00 59.29 1.0676 56.05
14.16 8.756 0.599 -4.342 -3.742 -3.392 0.00 59.37 1.0674 56.05
14.18 8.755 0.661 -4.401 -3.740 -3.392 0.00 59.37 1.0665 56.06
14.20 8.754 0.412 -4.103 -3.691 -3.392 0.00 59.37 1.0727 56.06
14.22 8.754 0.308 -3.997 -3.689 -3.389 0.00 59.46 1.0751 56.06
14.24 8.807 0.212 -3.884 -3.671 -3.389 0.00 59.46 1.0817 56.07
14.26 8.833 0.315 -3.956 -3.640 -3.389 0.00 59.46 1.0826 56.07
14.28 8.847 0.306 -3.976 -3.670 -3.385 0.00 59.54 1.0835 56.08
14.30 8.853 0.354 -4.007 -3.653 -3.385 0.00 59.54 1.0838 56.08
14.32 8.856 0.308 -3.977 -3.669 -3.380 0.00 59.62 1.0850 56.08
14.34 8.710 0.289 -3.966 -3.678 -3.380 0.00 59.62 1.0748 56.09
14.36 8.636 0.317 -3.935 -3.617 -3.380 0.00 59.62 1.0704 56.09
14.38 8.600 0.315 -3.947 -3.632 -3.376 0.00 59.71 1.0678 56.10
14.40 8.581 0.267 -3.947 -3.679 -3.376 0.00 59.71 1.0669 56.10
14.42 8.572 0.238 -3.888 -3.651 -3.376 0.00 59.71 1.0677 56.11
14.44 8.736 0.176 -3.836 -3.660 -3.372 0.00 59.80 1.0811 56.11
14.46 8.819 0.120 -3.790 -3.670 -3.372 0.00 59.80 1.0886 56.12
14.48 8.860 0.209 -3.853 -3.643 -3.372 0.00 59.80 1.0908 56.12
14.50 8.880 0.378 -4.003 -3.625 -3.364 0.00 59.87 1.0897 56.13
14.52 8.890 0.552 -4.175 -3.623 -3.364 0.00 59.87 1.0873 56.13
14.54 8.794 0.554 -4.161 -3.607 -3.364 0.00 59.87 1.0808 56.14
14.56 8.745 0.657 -4.236 -3.579 -3.352 0.00 59.93 1.0762 56.15
14.58 8.721 0.569 -4.117 -3.548 -3.352 0.00 59.93 1.0771 56.15
14.60 8.709 0.780 -4.327 -3.547 -3.352 0.00 59.93 1.0724 56.16
14.62 8.703 0.815 -4.413 -3.598 -3.337 0.00 59.98 1.0706 56.16
14.64 8.642 0.774 -4.430 -3.656 -3.337 0.00 59.98 1.0662 56.17
14.66 8.612 0.703 -4.431 -3.727 -3.337 0.00 59.98 1.0643 56.17
14.68 8.596 0.732 -4.500 -3.768 -3.321 0.00 60.02 1.0622 56.18
14.70 8.589 0.826 -4.602 -3.775 -3.321 0.00 60.02 1.0600 56.18
14.72 8.585 0.684 -4.439 -3.755 -3.321 0.00 60.02 1.0631 56.19
14.74 8.650 0.711 -4.433 -3.721 -3.305 0.00 60.07 1.0680 56.19
14.76 8.682 0.825 -4.519 -3.694 -3.305 0.00 60.07 1.0689 56.20
14.78 8.698 0.903 -4.594 -3.691 -3.305 0.00 60.07 1.0688 56.21
14.80 8.706 0.743 -4.466 -3.723 -3.287 0.00 60.11 1.0721 56.21
14.82 8.710 0.782 -4.472 -3.690 -3.287 0.00 60.11 1.0725 56.22
14.84 8.461 0.730 -4.443 -3.713 -3.270 0.00 60.15 1.0557 56.23
14.86 8.337 0.683 -4.432 -3.749 -3.270 0.00 60.15 1.0476 56.23
14.88 8.274 0.880 -4.607 -3.727 -3.270 0.00 60.15 1.0404 56.24
14.90 8.243 0.889 -4.606 -3.718 -3.253 0.00 60.19 1.0385 56.24
14.92 8.228 0.864 -4.540 -3.676 -3.253 0.00 60.19 1.0389 56.25
14.94 8.201 0.869 -4.492 -3.623 -3.253 0.00 60.19 1.0382 56.25
14.96 8.188 0.781 -4.393 -3.612 -3.239 0.00 60.24 1.0392 56.26
14.98 8.181 0.781 -4.451 -3.670 -3.239 0.00 60.24 1.0379 56.26
15.00 8.178 0.755 -4.327 -3.571 -3.239 0.00 60.24 1.0401 56.27
15.02 8.176 0.967 -4.417 -3.450 -3.224 0.00 60.28 1.0386 56.28
15.04 8.314 1.143 -4.613 -3.470 -3.224 0.00 60.28 1.0447 56.28
15.06 8.383 1.131 -4.469 -3.338 -3.224 0.00 60.28 1.0522 56.29
15.08 8.417 1.044 -4.349 -3.305 -3.208 0.00 60.32 1.0569 56.29
15.10 8.435 0.979 -4.336 -3.357 -3.208 0.00 60.32 1.0585 56.30
15.12 8.443 1.056 -4.384 -3.328 -3.208 0.00 60.32 1.0585 56.31
15.14 8.515 1.006 -4.301 -3.295 -3.191 0.00 60.36 1.0653 56.31
15.16 8.551 1.043 -4.397 -3.354 -3.191 0.00 60.36 1.0662 56.32
15.18 8.569 1.151 -4.543 -3.393 -3.191 0.00 60.36 1.0648 56.33
15.20 8.578 1.048 -4.444 -3.397 -3.171 0.00 60.39 1.0675 56.34
15.22 8.583 1.102 -4.557 -3.455 -3.171 0.00 60.39 1.0659 56.34
15.24 8.325 1.190 -4.610 -3.420 -3.171 0.00 60.39 1.0473 56.35
15.26 8.196 1.178 -4.618 -3.440 -3.151 0.00 60.42 1.0387 56.36
15.28 8.131 1.062 -4.513 -3.451 -3.151 0.00 60.42 1.0364 56.37
15.30 8.099 1.137 -4.610 -3.474 -3.151 0.00 60.42 1.0327 56.37
15.32 8.099 1.116 -4.608 -3.492 -3.133 0.00 60.45 1.0329 56.38
15.35 8.537 1.073 -4.600 -3.527 -3.133 0.00 60.45 1.0627 56.39
15.36 8.610 1.039 -4.589 -3.549 -3.133 0.00 60.45 1.0681 56.40
15.38 8.646 1.091 -4.590 -3.500 -3.110 0.00 60.47 1.0708 56.40
15.40 8.664 0.983 -4.476 -3.492 -3.110 0.00 60.47 1.0744 56.41
15.42 8.449 1.010 -4.434 -3.424 -3.089 0.00 60.49 1.0603 56.42
