it n time energy barrier aux reached lf_min al_max
88 104 28.0775 0.5185 3.5424 0.4613 0.272 0.612 7.35
89 104 31.9162 0.5518 3.6107 0.4503 0.266 0.681 7.15
90 105 27.2400 0.5425 3.4758 0.3887 0.284 0.720 7.41
91 105 31.6849 0.5536 3.6364 0.4418 0.291 0.552 7.63
92 106 31.5335 0.5489 3.7428 0.4409 0.288 0.624 7.68
93 106 31.0027 0.5597 3.7750 0.4073 0.287 0.488 5.98
94 107 31.2224 0.5331 3.8194 0.3935 0.281 0.577 4.99
95 107 30.7915 0.5761 3.9000 0.4223 0.291 0.653 7.15
96 108 31.0276 0.5544 3.9989 0.4592 0.278 0.368 7.35
97 108 28.5339 0.5716 3.8421 0.4052 0.275 0.665 7.93
98 109 31.8676 0.5766 3.8876 0.4726 0.272 0.562 7.79
99 109 31.0630 0.5696 4.0066 0.4538 0.275 0.577 5.99
100 110 31.6733 0.5490 4.3162 0.4313 0.272 0.621 5.67
101 110 33.2923 0.5804 4.4184 0.4347 0.262 0.542 6.29
102 111 29.9509 0.5835 4.3256 0.4527 0.266 0.660 7.09
103 111 28.8059 0.5673 4.3258 0.4453 0.287 0.616 9.04
104 112 31.4937 0.5833 4.1953 0.4199 0.297 0.642 8.09
105 112 29.8157 0.5694 4.1525 0.4782 0.316 0.640 5.33
106 113 33.4840 0.5765 4.1690 0.4982 0.322 0.546 9.48
107 113 31.1877 0.5777 4.2310 0.5000 0.338 0.623 7.40
108 114 31.3177 0.5986 4.3349 0.4788 0.350 0.468 5.61
109 114 29.7960 0.5824 4.4312 0.4733 0.366 0.593 5.89
110 115 30.2437 0.5896 4.3863 0.4503 0.369 0.466 7.99
111 115 30.5348 0.5550 4.3506 0.4798 0.378 0.561 8.90
112 116 29.8062 0.5703 4.3965 0.5230 0.384 0.617 13.14
113 116 30.4251 0.5638 4.3643 0.5160 0.381 0.525 7.48
114 117 31.1631 0.5741 4.3376 0.4551 0.388 0.691 7.60
115 117 33.9401 0.5783 4.5391 0.4767 0.372 0.579 7.56
116 118 31.6779 0.5818 4.3429 0.4721 0.381 0.692 7.52
117 118 30.2393 0.5612 4.2377 0.4622 0.388 0.729 7.57
118 119 30.8584 0.5772 4.2468 0.4949 0.384 0.629 8.24
119 119 31.8109 0.5819 4.2824 0.4602 0.366 0.486 11.29
120 120 30.5118 0.5585 4.1411 0.4879 0.378 0.614 11.71
121 120 31.6969 0.5578 4.0939 0.5340 0.384 0.581 9.20
122 121 32.0764 0.5585 4.0306 0.4762 0.375 0.635 8.21
123 121 29.7561 0.5506 4.2653 0.5069 0.378 0.418 9.35
124 122 28.9958 0.5594 4.4332 0.5040 0.378 0.526 8.36
125 122 30.3385 0.5571 4.2119 0.4976 0.388 0.484 8.78
126 123 30.1433 0.5460 4.3813 0.5381 0.400 0.572 7.53
127 123 29.8342 0.5303 4.6988 0.5486 0.381 0.475 7.55
128 124 29.2744 0.5506 4.6566 0.5680 0.372 0.490 6.18
129 124 31.3801 0.5371 4.6181 0.5578 0.394 0.626 10.91
130 125 31.4051 0.5332 4.7186 0.4998 0.378 0.661 6.72
131 125 30.2390 0.5330 4.7372 0.5066 0.378 0.634 8.32
132 126 28.1948 0.5497 4.8771 0.5488 0.412 0.698 10.77
133 126 29.8939 0.5431 4.6912 0.5456 0.419 0.689 5.82
134 127 29.2246 0.5157 4.5709 0.4966 0.409 0.632 9.46
135 127 29.3108 0.5104 4.6612 0.5023 0.419 0.511 6.56
136 128 32.1508 0.5144 4.7854 0.5361 0.388 0.626 7.98
137 128 30.7791 0.5183 4.6586 0.5498 0.403 0.587 9.32
138 129 29.9634 0.5190 4.5345 0.5711 0.409 0.753 7.41
139 129 29.3653 0.5146 4.5962 0.5582 0.416 0.567 10.33
140 130 32.1147 0.4973 4.7965 0.5823 0.425 0.643 11.45
141 130 32.6567 0.4939 5.0429 0.5039 0.428 0.633 11.65
142 131 31.0896 0.4848 5.1131 0.5633 0.419 0.591 10.11
143 131 32.1058 0.4918 5.2223 0.5816 0.413 0.678 11.81
144 132 31.3267 0.4917 5.1551 0.5228 0.419 0.660 7.77
145 132 31.9885 0.4873 5.0191 0.5610 0.428 0.689 8.29
146 133 29.4203 0.5084 4.8795 0.5630 0.469 0.517 9.12
147 133 30.7638 0.4857 4.7684 0.5348 0.469 0.770 8.11
148 134 32.3599 0.4870 5.0642 0.5558 0.491 0.551 7.57
149 134 30.1273 0.5071 4.8851 0.5882 0.500 0.642 6.36
150 135 32.6832 0.4926 4.7504 0.5978 0.512 0.610 9.45
151 135 31.1470 0.4727 4.4463 0.5913 0.519 0.611 6.77
152 136 30.3781 0.4888 4.3304 0.5410 0.522 0.645 13.51
153 136 34.9939 0.4793 4.2196 0.5942 0.506 0.673 12.53
154 137 31.5661 0.4757 4.5607 0.5697 0.522 0.505 9.28
155 137 32.1995 0.4628 4.6129 0.5729 0.509 0.657 10.81
156 138 31.8960 0.4681 4.6383 0.5903 0.494 0.625 5.73
157 138 31.1797 0.4627 4.6410 0.5590 0.494 0.579 10.07
158 139 30.7164 0.4635 4.5077 0.5237 0.481 0.658 10.77
159 139 29.8310 0.4509 4.8458 0.5611 0.484 0.589 14.40
160 140 30.4261 0.4668 4.8393 0.6017 0.478 0.579 9.17
161 140 32.1328 0.4689 5.1141 0.6116 0.475 0.550 11.80
162 141 30.8896 0.4731 5.1313 0.6069 0.478 0.516 8.64
163 141 34.8983 0.4635 5.1126 0.5859 0.491 0.672 9.79
164 142 31.9291 0.4680 4.8948 0.6103 0.478 0.540 8.50
165 142 32.9464 0.4606 4.9958 0.6172 0.481 0.627 10.37
166 143 32.5672 0.4517 5.0273 0.5501 0.488 0.656 8.63
167 143 32.5774 0.4626 5.3789 0.6036 0.475 0.454 8.32
168 144 32.0920 0.4777 5.3329 0.6613 0.475 0.642 9.04
169 144 32.4336 0.4699 5.0698 0.5581 0.453 0.672 7.79
170 145 32.5917 0.4735 5.2261 0.6150 0.447 0.568 12.97
