t V gam alpha th Tc Tr thsp Tcc Trc lf gd
0.05 6.000 0.000 -0.000 0.000 2.80 63.78 0.000 3.48 63.78 1.000 0.000
0.15 6.003 0.001 -0.001 -0.000 3.13 63.78 -0.001 4.98 63.78 1.000 0.000
0.25 6.011 0.003 -0.004 -0.000 3.67 63.77 -0.003 6.48 63.75 1.000 0.000
0.35 6.027 0.009 -0.011 -0.001 4.39 63.73 -0.007 7.98 63.66 1.001 0.001
0.45 6.053 0.019 -0.023 -0.004 5.25 63.64 -0.015 9.48 63.51 1.001 0.002
0.55 6.090 0.031 -0.039 -0.007 6.22 63.49 -0.028 10.98 63.29 1.002 0.002
0.65 6.139 0.046 -0.059 -0.013 7.29 63.29 -0.045 12.48 63.01 1.002 0.003
0.75 6.201 0.063 -0.085 -0.022 8.44 63.02 -0.069 13.98 62.66 1.002 0.003
0.85 6.278 0.082 -0.117 -0.035 9.65 62.68 -0.100 15.48 62.24 1.002 0.003
0.95 6.369 0.103 -0.155 -0.052 10.91 62.28 -0.138 16.98 61.75 1.003 0.004
1.05 6.475 0.126 -0.200 -0.074 12.22 61.80 -0.184 18.48 61.17 1.003 0.004
1.15 6.597 0.152 -0.253 -0.101 13.56 61.25 -0.237 19.98 60.52 1.003 0.005
1.25 6.734 0.179 -0.313 -0.134 14.93 60.61 -0.298 21.48 59.77 1.004 0.005
1.35 6.887 0.209 -0.382 -0.173 16.33 59.89 -0.367 22.98 58.95 1.004 0.005
1.45 7.057 0.240 -0.459 -0.219 17.74 59.08 -0.444 24.48 58.03 1.004 0.006
1.55 7.242 0.274 -0.545 -0.271 19.17 58.18 -0.529 25.98 57.02 1.005 0.006
1.65 7.443 0.310 -0.641 -0.331 20.61 57.19 -0.622 27.48 55.91 1.005 0.007
1.75 7.660 0.348 -0.745 -0.397 22.06 56.11 -0.723 28.98 54.71 1.006 0.007
1.85 7.893 0.388 -0.860 -0.472 23.50 54.93 -0.833 30.26 53.41 1.006 0.007
1.95 8.139 0.431 -0.984 -0.553 24.73 53.65 -0.949 30.26 52.01 1.007 0.008
