V alpha_deg Tr h feas
4.500 2.00 78.7 19.731 1
4.500 2.00 88.5 29.558 1
4.500 2.00 98.3 39.385 1
4.500 2.00 108.2 49.213 1
4.500 2.00 118.0 59.040 1
4.500 3.00 0.0 -58.592 0
4.500 3.00 9.8 -48.772 0
4.500 3.00 19.7 -38.952 0
4.500 3.00 29.5 -29.132 0
4.500 3.00 39.3 -19.313 0
4.500 3.00 49.2 -9.493 0
4.500 3.00 59.0 0.327 0
4.500 3.00 68.8 10.147 0
4.500 3.00 78.7 19.967 1
4.500 3.00 88.5 29.787 1
4.500 3.00 98.3 39.607 1
4.500 3.00 108.2 49.426 1
4.500 3.00 118.0 59.246 1
4.500 4.00 0.0 -58.296 0
4.500 4.00 9.8 -48.487 0
4.500 4.00 19.7 -38.677 0
4.500 4.00 29.5 -28.868 0
4.500 4.00 39.3 -19.059 0
4.500 4.00 49.2 -9.249 0
4.500 4.00 59.0 0.560 0
4.500 4.00 68.8 10.370 0
4.500 4.00 78.7 20.179 1
4.500 4.00 88.5 29.988 1
4.500 4.00 98.3 39.798 1
4.500 4.00 108.2 49.607 1
4.500 4.00 118.0 59.417 1
4.500 5.00 0.0 -58.000 0
4.500 5.00 9.8 -48.204 0
4.500 5.00 19.7 -38.408 0
4.500 5.00 29.5 -28.612 0
4.500 5.00 39.3 -18.816 0
4.500 5.00 49.2 -9.020 0
4.500 5.00 59.0 0.775 0
4.500 5.00 68.8 10.571 0
4.500 5.00 78.7 20.367 1
4.500 5.00 88.5 30.163 1
4.500 5.00 98.3 39.959 1
4.500 5.00 108.2 49.755 1
4.500 5.00 118.0 59.551 1
5.000 -10.00 0.0 -63.874 0
5.000 -10.00 9.8 -54.191 0
5.000 -10.00 19.7 -44.507 0
5.000 -10.00 29.5 -34.823 0
5.000 -10.00 39.3 -25.139 0
5.000 -10.00 49.2 -15.455 0
5.000 -10.00 59.0 -5.771 0
5.000 -10.00 68.8 3.913 0
5.000 -10.00 78.7 13.597 1
5.000 -10.00 88.5 23.281 1
5.000 -10.00 98.3 32.965 1
5.000 -10.00 108.2 42.649 1
5.000 -10.00 118.0 52.333 1
5.000 -9.00 0.0 -63.265 0
5.000 -9.00 9.8 -53.553 0
5.000 -9.00 19.7 -43.841 0
5.000 -9.00 29.5 -34.129 0
5.000 -9.00 39.3 -24.416 0
5.000 -9.00 49.2 -14.704 0
5.000 -9.00 59.0 -4.992 0
5.000 -9.00 68.8 4.720 0
5.000 -9.00 78.7 14.433 1
5.000 -9.00 88.5 24.145 1
5.000 -9.00 98.3 33.857 1
5.000 -9.00 108.2 43.569 1
5.000 -9.00 118.0 53.282 1
5.000 -8.00 0.0 -62.656 0
5.000 -8.00 9.8 -52.919 0
5.000 -8.00 19.7 -43.181 0
5.000 -8.00 29.5 -33.444 0
5.000 -8.00 39.3 -23.706 0
5.000 -8.00 49.2 -13.968 0
5.000 -8.00 59.0 -4.231 0
5.000 -8.00 68.8 5.507 0
5.000 -8.00 78.7 15.245 1
5.000 -8.00 88.5 24.982 1
5.000 -8.00 98.3 34.720 1
5.000 -8.00 108.2 44.458 1
5.000 -8.00 118.0 54.195 1
5.000 -7.00 0.0 -62.047 0
5.000 -7.00 9.8 -52.287 0
5.000 -7.00 19.7 -42.527 0
5.000 -7.00 29.5 -32.767 0
5.000 -7.00 39.3 -23.007 0
5.000 -7.00 49.2 -13.247 0
5.000 -7.00 59.0 -3.487 0
5.000 -7.00 68.8 6.273 0
